CLUSTER,STRUCTURE
1,right_inferior_temporal_gyrus_posterior_division
1,right_temporal_fusiform_cortex_posterior_division
2,left_postcentral_gyrus
2,left_superior_parietal_lobule
2,left_supplementary_motor_cortex
2,left_supramarginal_gyrus_anterior_division
2,right_postcentral_gyrus
2,right_supramarginal_gyrus_anterior_division
3,left_frontal_operculum_cortex
3,left_frontal_orbital_cortex
3,left_insular_cortex
3,left_paracingulate_gyrus
3,right_frontal_operculum_cortex
3,right_frontal_orbital_cortex
3,right_frontal_pole
3,right_inferior_frontal_gyrus_pars_triangularis
3,right_insular_cortex
4,left_inferior_temporal_gyrus_temporooccipital_part
4,left_middle_temporal_gyrus_temporooccipital_part
4,left_temporal_occipital_fusiform_cortex
5,right_inferior_frontal_gyrus_pars_opercularis
5,right_middle_frontal_gyrus
5,right_precentral_gyrus
5,right_superior_frontal_gyrus
5,right_supplementary_motor_cortex
6,left_lingual_gyrus
6,right_intracalcarine_cortex
6,right_lingual_gyrus
6,right_occipital_pole
6,right_temporal_occipital_fusiform_cortex
7,right_middle_temporal_gyrus_anterior_division
7,right_middle_temporal_gyrus_posterior_division
7,right_superior_temporal_gyrus_anterior_division
8,left_caudate
8,left_pallidum
8,left_putamen
8,right_caudate
8,right_pallidum
8,right_putamen
9,left_parahippocampal_gyrus_posterior_division
9,left_temporal_fusiform_cortex_posterior_division
9,right_parahippocampal_gyrus_posterior_division
10,left_inferior_temporal_gyrus_posterior_division
10,left_middle_temporal_gyrus_anterior_division
10,left_middle_temporal_gyrus_posterior_division
10,left_superior_temporal_gyrus_posterior_division
11,left_frontal_pole
11,left_inferior_frontal_gyrus_pars_opercularis
11,left_inferior_frontal_gyrus_pars_triangularis
11,left_middle_frontal_gyrus
11,left_precentral_gyrus
11,left_superior_frontal_gyrus
12,right_heschls_gyrus
12,right_planum_polare
13,left_frontal_medial_cortex
13,right_frontal_medial_cortex
14,left_heschls_gyrus
14,left_planum_polare
14,left_superior_temporal_gyrus_anterior_division
15,right_amygdala
15,right_parahippocampal_gyrus_anterior_division
16,left_brainstem
16,right_brainstem
17,right_inferior_temporal_gyrus_anterior_division
17,right_temporal_fusiform_cortex_anterior_division
18,left_cuneal_cortex
18,left_intracalcarine_cortex
18,left_supracalcarine_cortex
19,left_accumbens
19,right_accumbens
20,left_subcallosal_cortex
21,left_amygdala
21,left_hippocampus
21,left_parahippocampal_gyrus_anterior_division
21,right_hippocampus
22,left_angular_gyrus
22,left_lateral_occipital_cortex_superior_division
22,left_supramarginal_gyrus_posterior_division
22,right_angular_gyrus
22,right_lateral_occipital_cortex_superior_division
22,right_middle_temporal_gyrus_temporooccipital_part
22,right_superior_parietal_lobule
22,right_supramarginal_gyrus_posterior_division
23,left_cingulate_gyrus_anterior_division
23,right_cingulate_gyrus_anterior_division
23,right_paracingulate_gyrus
24,left_inferior_temporal_gyrus_anterior_division
24,left_temporal_fusiform_cortex_anterior_division
25,left_thalamus
25,right_thalamus
26,left_central_opercular_cortex
26,left_parietal_operculum_cortex
26,left_planum_temporale
26,right_central_opercular_cortex
26,right_parietal_operculum_cortex
26,right_planum_temporale
26,right_superior_temporal_gyrus_posterior_division
27,left_temporal_pole
27,right_temporal_pole
28,right_subcallosal_cortex
29,left_cerebellum
29,right_cerebellum
30,left_lateral_occipital_cortex_inferior_division
30,left_occipital_fusiform_gyrus
30,left_occipital_pole
30,right_inferior_temporal_gyrus_temporooccipital_part
30,right_lateral_occipital_cortex_inferior_division
30,right_occipital_fusiform_gyrus
31,left_cingulate_gyrus_posterior_division
31,left_precuneous_cortex
31,right_cingulate_gyrus_posterior_division
31,right_cuneal_cortex
31,right_precuneous_cortex
31,right_supracalcarine_cortex
