,DEVELOPMENTAL,PSYCHOTIC,BIPOLAR,DEPRESSIVE,ANXIETY,OBSESSIVE_COMPULSIVE,TRAUMA_STRESSOR,COGNITIVE
right_cingulate_gyrus_anterior_division,0.0,0.0,0.0,0.03987495814141762,0.046743659554718306,0.0,0.0,0.0
right_cingulate_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_precuneous_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_cuneal_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_frontal_orbital_cortex,0.0,0.0,0.0,0.034458867821610624,0.0,0.0775712783400557,0.0,0.0
right_parahippocampal_gyrus_anterior_division,0.0,0.0,0.0,0.08187181982074657,0.22505022569694258,0.0,0.25271082585528115,0.0
right_parahippocampal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.13478891095417778,0.0
right_lingual_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_temporal_fusiform_cortex_anterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_temporal_fusiform_cortex_posterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.13088188351707128,0.0
right_temporal_occipital_fusiform_cortex,0.07305827541678703,0.0,0.0,0.0,0.0,0.0,0.10534555556723771,0.0
right_occipital_fusiform_gyrus,0.06604764766807919,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_frontal_operculum_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_central_opercular_cortex,0.0,0.0,0.0,0.0,0.0,0.09819969598121034,0.0,0.0
right_parietal_operculum_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_planum_polare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_heschls_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_planum_temporale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_supracalcarine_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_occipital_pole,0.07167622843012585,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_thalamus,0.0,0.0,0.07587121309454102,0.0,0.0,0.0,0.0,0.0
right_caudate,0.0,0.0,0.0,0.07073091243981867,0.0,0.17795730577487545,0.0,0.0
right_putamen,0.0,0.0,0.0,0.0576358393337166,0.0,0.16621966539057043,0.0,0.0
right_pallidum,0.0,0.0,0.0,0.0,0.0,0.24054596166296877,0.0,0.0
right_hippocampus,0.0,0.0,0.0,0.100470736992487,0.1729187958918544,0.0,0.23436063728645,0.0
right_amygdala,0.0,0.0,0.0,0.12872694349322075,0.28890168843755193,0.0,0.297779471907883,0.0
right_accumbens,0.0,0.0,0.0,0.12343536590089145,0.0,0.0,0.0,0.0
right_brainstem,0.0,0.0,0.0,0.11607532092116689,0.0,0.0,0.0,0.0
right_cerebellum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09105758419784843
