CLUSTER,STRUCTURE
1,right_parahippocampal_gyrus_posterior_division
2,left_central_opercular_cortex
2,left_parietal_operculum_cortex
2,left_planum_temporale
3,left_frontal_operculum_cortex
3,left_frontal_orbital_cortex
3,left_frontal_pole
3,left_inferior_frontal_gyrus_pars_triangularis
4,right_cingulate_gyrus_anterior_division
4,right_paracingulate_gyrus
5,left_angular_gyrus
5,left_lateral_occipital_cortex_superior_division
5,left_precuneous_cortex
5,left_superior_parietal_lobule
5,left_supramarginal_gyrus_posterior_division
5,right_angular_gyrus
5,right_lateral_occipital_cortex_superior_division
5,right_precuneous_cortex
5,right_superior_parietal_lobule
6,left_amygdala
7,right_accumbens
8,left_inferior_temporal_gyrus_posterior_division
8,left_temporal_fusiform_cortex_posterior_division
9,left_middle_temporal_gyrus_posterior_division
9,left_middle_temporal_gyrus_temporooccipital_part
9,left_superior_temporal_gyrus_posterior_division
10,left_frontal_medial_cortex
11,left_insular_cortex
11,right_frontal_operculum_cortex
11,right_frontal_orbital_cortex
11,right_insular_cortex
12,right_inferior_temporal_gyrus_anterior_division
13,left_postcentral_gyrus
13,left_supramarginal_gyrus_anterior_division
13,right_postcentral_gyrus
13,right_supramarginal_gyrus_anterior_division
14,right_pallidum
14,right_putamen
15,right_hippocampus
16,left_inferior_temporal_gyrus_temporooccipital_part
16,left_lateral_occipital_cortex_inferior_division
16,left_lingual_gyrus
16,left_occipital_fusiform_gyrus
16,left_temporal_occipital_fusiform_cortex
17,left_cingulate_gyrus_anterior_division
17,left_paracingulate_gyrus
18,right_heschls_gyrus
18,right_planum_polare
19,right_middle_temporal_gyrus_posterior_division
19,right_superior_temporal_gyrus_posterior_division
20,right_cuneal_cortex
20,right_intracalcarine_cortex
20,right_lingual_gyrus
20,right_supracalcarine_cortex
21,right_brainstem
22,right_subcallosal_cortex
23,left_thalamus
23,right_thalamus
24,left_inferior_temporal_gyrus_anterior_division
25,left_caudate
26,left_temporal_pole
27,left_cuneal_cortex
27,left_intracalcarine_cortex
27,left_supracalcarine_cortex
28,right_inferior_temporal_gyrus_posterior_division
29,left_subcallosal_cortex
30,left_inferior_frontal_gyrus_pars_opercularis
30,left_middle_frontal_gyrus
30,left_precentral_gyrus
30,left_superior_frontal_gyrus
30,left_supplementary_motor_cortex
31,right_caudate
32,right_inferior_frontal_gyrus_pars_opercularis
32,right_inferior_frontal_gyrus_pars_triangularis
32,right_precentral_gyrus
32,right_supramarginal_gyrus_posterior_division
33,left_hippocampus
34,right_middle_temporal_gyrus_anterior_division
34,right_superior_temporal_gyrus_anterior_division
35,left_cerebellum
35,right_cerebellum
36,right_inferior_temporal_gyrus_temporooccipital_part
36,right_middle_temporal_gyrus_temporooccipital_part
36,right_temporal_occipital_fusiform_cortex
37,left_pallidum
37,left_putamen
38,right_frontal_medial_cortex
39,left_accumbens
40,left_middle_temporal_gyrus_anterior_division
40,left_superior_temporal_gyrus_anterior_division
41,right_amygdala
42,right_cingulate_gyrus_posterior_division
43,left_parahippocampal_gyrus_posterior_division
44,right_central_opercular_cortex
44,right_parietal_operculum_cortex
44,right_planum_temporale
45,right_temporal_fusiform_cortex_anterior_division
46,right_frontal_pole
46,right_middle_frontal_gyrus
46,right_superior_frontal_gyrus
47,right_temporal_pole
48,right_lateral_occipital_cortex_inferior_division
48,right_occipital_fusiform_gyrus
49,right_parahippocampal_gyrus_anterior_division
50,left_cingulate_gyrus_posterior_division
51,left_brainstem
52,right_supplementary_motor_cortex
53,left_occipital_pole
53,right_occipital_pole
54,left_heschls_gyrus
54,left_planum_polare
55,right_temporal_fusiform_cortex_posterior_division
56,left_parahippocampal_gyrus_anterior_division
57,left_temporal_fusiform_cortex_anterior_division
