CLUSTER,STRUCTURE
1,right_central_opercular_cortex
1,right_parietal_operculum_cortex
1,right_planum_temporale
1,right_superior_temporal_gyrus_posterior_division
2,left_insular_cortex
2,right_frontal_operculum_cortex
2,right_frontal_orbital_cortex
2,right_inferior_frontal_gyrus_pars_triangularis
2,right_insular_cortex
3,left_postcentral_gyrus
3,right_postcentral_gyrus
3,right_precentral_gyrus
3,right_supramarginal_gyrus_anterior_division
4,right_hippocampus
4,right_parahippocampal_gyrus_anterior_division
5,left_inferior_frontal_gyrus_pars_opercularis
5,left_inferior_frontal_gyrus_pars_triangularis
5,left_middle_frontal_gyrus
5,left_precentral_gyrus
5,left_superior_frontal_gyrus
5,left_supplementary_motor_cortex
5,right_inferior_frontal_gyrus_pars_opercularis
6,left_middle_temporal_gyrus_anterior_division
6,left_superior_temporal_gyrus_anterior_division
7,left_accumbens
8,right_intracalcarine_cortex
8,right_lingual_gyrus
8,right_supracalcarine_cortex
9,left_lateral_occipital_cortex_superior_division
9,right_angular_gyrus
9,right_lateral_occipital_cortex_superior_division
9,right_superior_parietal_lobule
10,right_inferior_temporal_gyrus_temporooccipital_part
10,right_temporal_occipital_fusiform_cortex
11,left_subcallosal_cortex
12,left_pallidum
12,left_putamen
12,right_putamen
13,left_inferior_temporal_gyrus_posterior_division
13,left_temporal_fusiform_cortex_posterior_division
14,right_middle_temporal_gyrus_anterior_division
14,right_middle_temporal_gyrus_posterior_division
14,right_superior_temporal_gyrus_anterior_division
15,left_lingual_gyrus
15,left_occipital_pole
16,left_frontal_medial_cortex
17,right_inferior_temporal_gyrus_anterior_division
17,right_temporal_fusiform_cortex_anterior_division
18,left_middle_temporal_gyrus_temporooccipital_part
19,left_cuneal_cortex
19,left_intracalcarine_cortex
19,left_supracalcarine_cortex
20,right_brainstem
21,right_subcallosal_cortex
22,left_thalamus
22,right_thalamus
23,right_pallidum
24,left_inferior_temporal_gyrus_anterior_division
25,left_hippocampus
26,left_central_opercular_cortex
26,left_heschls_gyrus
26,left_parietal_operculum_cortex
26,left_planum_temporale
27,left_temporal_fusiform_cortex_anterior_division
28,left_frontal_operculum_cortex
28,left_frontal_orbital_cortex
28,left_frontal_pole
29,left_cingulate_gyrus_anterior_division
29,left_paracingulate_gyrus
30,left_cerebellum
30,right_cerebellum
31,right_accumbens
32,right_inferior_temporal_gyrus_posterior_division
33,left_middle_temporal_gyrus_posterior_division
33,left_superior_temporal_gyrus_posterior_division
34,left_caudate
35,left_angular_gyrus
35,left_superior_parietal_lobule
35,left_supramarginal_gyrus_anterior_division
35,left_supramarginal_gyrus_posterior_division
35,right_middle_temporal_gyrus_temporooccipital_part
35,right_supramarginal_gyrus_posterior_division
36,right_cingulate_gyrus_anterior_division
36,right_paracingulate_gyrus
37,right_frontal_medial_cortex
38,left_cingulate_gyrus_posterior_division
38,left_precuneous_cortex
38,right_cingulate_gyrus_posterior_division
38,right_cuneal_cortex
38,right_precuneous_cortex
39,right_frontal_pole
39,right_middle_frontal_gyrus
39,right_superior_frontal_gyrus
40,left_parahippocampal_gyrus_anterior_division
41,left_planum_polare
41,right_heschls_gyrus
41,right_planum_polare
42,left_temporal_pole
42,right_temporal_pole
43,right_caudate
44,left_brainstem
45,right_supplementary_motor_cortex
46,left_parahippocampal_gyrus_posterior_division
47,right_amygdala
48,right_parahippocampal_gyrus_posterior_division
48,right_temporal_fusiform_cortex_posterior_division
49,left_amygdala
50,left_lateral_occipital_cortex_inferior_division
50,right_lateral_occipital_cortex_inferior_division
50,right_occipital_fusiform_gyrus
50,right_occipital_pole
51,left_inferior_temporal_gyrus_temporooccipital_part
51,left_occipital_fusiform_gyrus
51,left_temporal_occipital_fusiform_cortex
