CLUSTER,STRUCTURE
1,left_angular_gyrus
1,left_lateral_occipital_cortex_inferior_division
1,left_lateral_occipital_cortex_superior_division
1,left_middle_temporal_gyrus_temporooccipital_part
1,left_superior_parietal_lobule
1,left_supramarginal_gyrus_posterior_division
1,right_angular_gyrus
1,right_lateral_occipital_cortex_superior_division
1,right_middle_temporal_gyrus_temporooccipital_part
1,right_supramarginal_gyrus_posterior_division
2,left_postcentral_gyrus
2,left_supramarginal_gyrus_anterior_division
2,right_postcentral_gyrus
2,right_superior_parietal_lobule
2,right_supramarginal_gyrus_anterior_division
3,right_amygdala
3,right_parahippocampal_gyrus_anterior_division
4,left_parahippocampal_gyrus_posterior_division
4,right_parahippocampal_gyrus_posterior_division
5,left_heschls_gyrus
5,left_planum_polare
6,left_caudate
6,left_pallidum
6,left_putamen
6,right_pallidum
6,right_putamen
7,left_frontal_orbital_cortex
7,left_frontal_pole
7,right_frontal_pole
8,right_cerebellum
8,right_intracalcarine_cortex
8,right_lateral_occipital_cortex_inferior_division
8,right_lingual_gyrus
8,right_occipital_fusiform_gyrus
8,right_occipital_pole
8,right_temporal_occipital_fusiform_cortex
9,left_inferior_temporal_gyrus_posterior_division
9,left_middle_temporal_gyrus_posterior_division
9,left_superior_temporal_gyrus_posterior_division
10,left_insular_cortex
10,right_frontal_operculum_cortex
10,right_frontal_orbital_cortex
10,right_inferior_frontal_gyrus_pars_triangularis
10,right_insular_cortex
11,right_frontal_medial_cortex
11,right_subcallosal_cortex
12,left_brainstem
12,right_brainstem
13,left_inferior_temporal_gyrus_temporooccipital_part
13,left_occipital_fusiform_gyrus
13,left_temporal_fusiform_cortex_posterior_division
13,left_temporal_occipital_fusiform_cortex
13,right_inferior_temporal_gyrus_temporooccipital_part
14,right_inferior_temporal_gyrus_anterior_division
14,right_temporal_fusiform_cortex_anterior_division
15,right_middle_temporal_gyrus_anterior_division
15,right_middle_temporal_gyrus_posterior_division
15,right_superior_temporal_gyrus_anterior_division
15,right_superior_temporal_gyrus_posterior_division
16,left_accumbens
17,left_middle_frontal_gyrus
17,left_precentral_gyrus
17,left_superior_frontal_gyrus
17,left_supplementary_motor_cortex
17,right_inferior_frontal_gyrus_pars_opercularis
17,right_middle_frontal_gyrus
17,right_precentral_gyrus
17,right_superior_frontal_gyrus
17,right_supplementary_motor_cortex
18,left_amygdala
18,left_hippocampus
18,left_parahippocampal_gyrus_anterior_division
18,right_hippocampus
19,left_frontal_medial_cortex
20,left_middle_temporal_gyrus_anterior_division
20,left_superior_temporal_gyrus_anterior_division
21,left_inferior_temporal_gyrus_anterior_division
21,left_temporal_fusiform_cortex_anterior_division
22,left_central_opercular_cortex
22,left_parietal_operculum_cortex
22,left_planum_temporale
23,left_cingulate_gyrus_posterior_division
23,left_cuneal_cortex
23,left_precuneous_cortex
23,right_cingulate_gyrus_posterior_division
23,right_cuneal_cortex
23,right_precuneous_cortex
23,right_supracalcarine_cortex
24,right_caudate
25,right_inferior_temporal_gyrus_posterior_division
25,right_temporal_fusiform_cortex_posterior_division
26,left_thalamus
26,right_thalamus
27,left_cingulate_gyrus_anterior_division
27,left_paracingulate_gyrus
27,right_cingulate_gyrus_anterior_division
27,right_paracingulate_gyrus
28,right_accumbens
29,left_subcallosal_cortex
30,left_temporal_pole
30,right_temporal_pole
31,right_central_opercular_cortex
31,right_heschls_gyrus
31,right_parietal_operculum_cortex
31,right_planum_polare
31,right_planum_temporale
32,left_frontal_operculum_cortex
32,left_inferior_frontal_gyrus_pars_opercularis
32,left_inferior_frontal_gyrus_pars_triangularis
33,left_cerebellum
33,left_intracalcarine_cortex
33,left_lingual_gyrus
33,left_occipital_pole
33,left_supracalcarine_cortex
