ORDER,CLASS,TOKEN,SOURCE,DISTANCE
1,DEVELOPMENTAL,attention_deficit_hyperactivity_disorder,Lexicon,0.6885182658754279
1,DEVELOPMENTAL,hyperactivity_disorder,Lexicon,0.6479203387009566
1,DEVELOPMENTAL,attention_deficithyperactivity_disorder,DSM,0.6435911222953984
1,DEVELOPMENTAL,autism_spectrum_disorder,DSM,0.6369292688107423
1,DEVELOPMENTAL,neurodevelopmental_disorder,DSM,0.6288521265030386
1,DEVELOPMENTAL,tourette_disorder,Lexicon,0.6253663065531306
1,DEVELOPMENTAL,developmental_coordination_disorder,DSM,0.6243949256758708
1,DEVELOPMENTAL,attentiondeficithyperactivity_disorder,DSM,0.6105896215383974
1,DEVELOPMENTAL,attentiondeficit_hyperactivity_disorder,DSM,0.6080201579082397
1,DEVELOPMENTAL,intellectual_disability,DSM,0.6046771720890348
1,DEVELOPMENTAL,learning_disability,Lexicon,0.5980385953422513
1,DEVELOPMENTAL,attention_deficit_disorder,Lexicon,0.5862346629893181
1,DEVELOPMENTAL,language_disorder,DSM,0.5716724797708712
1,DEVELOPMENTAL,global_developmental_delay,DSM,0.5618215059754821
1,DEVELOPMENTAL,mental_retardation,Lexicon,0.5405764284756612
1,DEVELOPMENTAL,tourette_syndrome,Lexicon,0.5390783090747162
1,DEVELOPMENTAL,learning_disorder,Lexicon,0.5359824494835649
1,DEVELOPMENTAL,adhd,DSM,0.5345190050931153
1,DEVELOPMENTAL,attentiondeficit,Lexicon,0.5201329464738365
1,DEVELOPMENTAL,behavioral_problem,Lexicon,0.512948609513554
1,DEVELOPMENTAL,developmental_disorder,Lexicon,0.5095913296135658
1,DEVELOPMENTAL,asperger_disorder,Lexicon,0.5093297030738172
1,DEVELOPMENTAL,language_development,Lexicon,0.507657562039246
1,DEVELOPMENTAL,social_communication,Lexicon,0.503411529785645
8,PSYCHOTIC,schizoaffective_disorder,DSM,0.8756841120617184
8,PSYCHOTIC,psychotic_disorder,DSM,0.8219771197720177
8,PSYCHOTIC,schizophreniform_disorder,DSM,0.8184005144531363
8,PSYCHOTIC,delusional_disorder,DSM,0.7632983934374848
8,PSYCHOTIC,schizophreniform,Lexicon,0.7126258042289978
8,PSYCHOTIC,schizoaffective,Lexicon,0.6927093351869029
8,PSYCHOTIC,brief_psychotic_disorder,DSM,0.6444315185941432
8,PSYCHOTIC,schizotypal_personality_disorder,DSM,0.6020379464597071
8,PSYCHOTIC,psychotic,Lexicon,0.5953309376943251
10,BIPOLAR,bipolar_disorder,DSM,0.9113332376630783
10,BIPOLAR,bipolar_ii_disorder,DSM,0.8925483877354171
10,BIPOLAR,bipolar,Lexicon,0.8344703686470556
10,BIPOLAR,bipolar_ii,Lexicon,0.7329233086607626
10,BIPOLAR,unipolar_depression,Lexicon,0.7085962478712102
11,DEPRESSIVE,major_depressive_disorder,DSM,0.8285387712091179
11,DEPRESSIVE,depressive_disorder,DSM,0.826180610620581
11,DEPRESSIVE,dysthymia,DSM,0.7784248758658207
11,DEPRESSIVE,major_depression,Lexicon,0.7509926069278922
11,DEPRESSIVE,mdd,DSM,0.7091256009875061
11,DEPRESSIVE,depressive,Lexicon,0.6992818732914002
11,DEPRESSIVE,mood_disorder,Lexicon,0.6650504225534264
11,DEPRESSIVE,major_depressive_episode,Lexicon,0.6399058795767324
11,DEPRESSIVE,major_depressive,Lexicon,0.6322555048041876
11,DEPRESSIVE,unipolar_depression,Lexicon,0.6229980733803743
11,DEPRESSIVE,depression,Lexicon,0.6204435736122448
11,DEPRESSIVE,generalized_anxiety,Lexicon,0.5856315200137672
11,DEPRESSIVE,bipolar_depression,Lexicon,0.5833439446613097
11,DEPRESSIVE,mania,Lexicon,0.5706840348209719
