ORDER,DOMAIN,TOKEN,SOURCE,DISTANCE
1,NEGATIVE_VALENCE,avoidance,Lexicon,0.22170291657734453
1,NEGATIVE_VALENCE,threat,Lexicon,0.2686817943309803
1,NEGATIVE_VALENCE,anxiety,Lexicon,0.26979055432735466
1,NEGATIVE_VALENCE,anger,Lexicon,0.32760434574769426
1,NEGATIVE_VALENCE,worry,Lexicon,0.343475577942536
1,NEGATIVE_VALENCE,aggression,Lexicon,0.34406615681813624
1,NEGATIVE_VALENCE,frustration,Lexicon,0.34608137653886184
1,NEGATIVE_VALENCE,reactivity,Lexicon,0.3562700625612977
1,NEGATIVE_VALENCE,fear,Lexicon,0.35795006569873566
1,NEGATIVE_VALENCE,emotional_reactivity,Lexicon,0.37532373555670406
1,NEGATIVE_VALENCE,temperament,Lexicon,0.4019386434068568
1,NEGATIVE_VALENCE,rumination,Lexicon,0.4216223829405463
1,NEGATIVE_VALENCE,trait_anxiety,Lexicon,0.4322814733585837
1,NEGATIVE_VALENCE,anhedonia,Lexicon,0.4352943497810281
1,NEGATIVE_VALENCE,neuroticism,Lexicon,0.43940089053019427
1,NEGATIVE_VALENCE,stress,Lexicon,0.4424771746678414
1,NEGATIVE_VALENCE,sadness,Lexicon,0.4447938239352033
1,NEGATIVE_VALENCE,irritability,Lexicon,0.44797820479315
1,NEGATIVE_VALENCE,guilt,Lexicon,0.45792476668438875
1,NEGATIVE_VALENCE,selfesteem,Lexicon,0.46082241443207816
1,NEGATIVE_VALENCE,attentional_bias,Lexicon,0.4614239601008323
1,NEGATIVE_VALENCE,internalizing,Lexicon,0.46743428086771077
1,NEGATIVE_VALENCE,mood,Lexicon,0.469343237342978
1,NEGATIVE_VALENCE,negative_emotion,Lexicon,0.4714896911606482
1,NEGATIVE_VALENCE,behavioral_inhibition,Lexicon,0.4725546576308588
2,POSITIVE_VALENCE,reward,Lexicon,0.1411234490305021
2,POSITIVE_VALENCE,reward_learning,Lexicon,0.24162320491363898
2,POSITIVE_VALENCE,reward_processing,Lexicon,0.28489088779732197
2,POSITIVE_VALENCE,reward_anticipation,Lexicon,0.28968002900129863
2,POSITIVE_VALENCE,anticipation,Lexicon,0.31543999187534344
2,POSITIVE_VALENCE,response_reward,Lexicon,0.32177266777157987
2,POSITIVE_VALENCE,valuation,Lexicon,0.34076867703448765
2,POSITIVE_VALENCE,reward_response,Lexicon,0.3412889561341702
2,POSITIVE_VALENCE,prediction_error,Lexicon,0.35719211652153293
2,POSITIVE_VALENCE,reward_prediction_error,Lexicon,0.36717486990431847
2,POSITIVE_VALENCE,reinforcement_learning,Lexicon,0.39055781550694424
2,POSITIVE_VALENCE,decision_making,Lexicon,0.3936508174407809
2,POSITIVE_VALENCE,avoidance,Lexicon,0.43312914122765567
2,POSITIVE_VALENCE,delayed_reward,Lexicon,0.43977303262548395
2,POSITIVE_VALENCE,reward_valuation,Lexicon,0.44161869691345756
2,POSITIVE_VALENCE,wanting,Lexicon,0.44184016141474103
2,POSITIVE_VALENCE,gambling_task,Lexicon,0.44321448812738307
2,POSITIVE_VALENCE,devaluation,Lexicon,0.44376957017035734
