ORDER,DOMAIN,TOKEN,SOURCE,DISTANCE
1,NEGATIVE_VALENCE,avoidance,RDoC,0.7782970834226555
1,NEGATIVE_VALENCE,threat,RDoC,0.7313182056690194
1,NEGATIVE_VALENCE,anxiety,RDoC,0.7302094456726453
1,NEGATIVE_VALENCE,anger,Lexicon,0.672395654252306
1,NEGATIVE_VALENCE,worry,RDoC,0.656524422057464
1,NEGATIVE_VALENCE,aggression,RDoC,0.6559338431818637
1,NEGATIVE_VALENCE,frustration,RDoC,0.6539186234611379
1,NEGATIVE_VALENCE,reactivity,Lexicon,0.6437299374387021
1,NEGATIVE_VALENCE,fear,RDoC,0.6420499343012641
1,NEGATIVE_VALENCE,emotional_reactivity,Lexicon,0.6246762644432963
1,NEGATIVE_VALENCE,temperament,Lexicon,0.5980613565931431
1,NEGATIVE_VALENCE,rumination,RDoC,0.5783776170594536
2,POSITIVE_VALENCE,reward,RDoC,0.8588765509694978
2,POSITIVE_VALENCE,reward_learning,RDoC,0.7583767950863604
2,POSITIVE_VALENCE,reward_processing,Lexicon,0.7151091122026775
2,POSITIVE_VALENCE,reward_anticipation,RDoC,0.7103199709987013
2,POSITIVE_VALENCE,anticipation,RDoC,0.684560008124656
2,POSITIVE_VALENCE,response_reward,RDoC,0.67822733222842
2,POSITIVE_VALENCE,valuation,RDoC,0.659231322965512
2,POSITIVE_VALENCE,reward_response,RDoC,0.6587110438658298
2,POSITIVE_VALENCE,prediction_error,RDoC,0.6428078834784671
2,POSITIVE_VALENCE,reward_prediction_error,RDoC,0.6328251300956814
2,POSITIVE_VALENCE,reinforcement_learning,RDoC,0.6094421844930555
2,POSITIVE_VALENCE,decision_making,Lexicon,0.6063491825592188
2,POSITIVE_VALENCE,avoidance,Lexicon,0.566870858772344
2,POSITIVE_VALENCE,delayed_reward,RDoC,0.5602269673745159
2,POSITIVE_VALENCE,reward_valuation,RDoC,0.5583813030865423
2,POSITIVE_VALENCE,wanting,Lexicon,0.5581598385852586
2,POSITIVE_VALENCE,gambling_task,Lexicon,0.556785511872617
2,POSITIVE_VALENCE,devaluation,RDoC,0.5562304298296424
2,POSITIVE_VALENCE,instrumental_learning,Lexicon,0.546624961267471
3,COGNITIVE_SYSTEMS,performance,RDoC,0.7088697088064839
3,COGNITIVE_SYSTEMS,interference,RDoC,0.6941785134444822
3,COGNITIVE_SYSTEMS,working_memory,RDoC,0.692496895483745
3,COGNITIVE_SYSTEMS,selective_attention,RDoC,0.6346901344415086
3,COGNITIVE_SYSTEMS,shortterm_memory,Lexicon,0.6303180434079054
3,COGNITIVE_SYSTEMS,dual_task,RDoC,0.6243344910492392
3,COGNITIVE_SYSTEMS,divided_attention,RDoC,0.6180362834452038
3,COGNITIVE_SYSTEMS,manipulation,RDoC,0.6144893969741242
3,COGNITIVE_SYSTEMS,attention,RDoC,0.6064919609319495
3,COGNITIVE_SYSTEMS,visual_search,RDoC,0.5985017081601679
3,COGNITIVE_SYSTEMS,nback,RDoC,0.5962886189939122
3,COGNITIVE_SYSTEMS,sustained_attention,RDoC,0.5894699905484385
3,COGNITIVE_SYSTEMS,processing_speed,Lexicon,0.5861687300510199
3,COGNITIVE_SYSTEMS,stroop,RDoC,0.5846715428932991
3,COGNITIVE_SYSTEMS,cueing,Lexicon,0.5835328010368247
3,COGNITIVE_SYSTEMS,set_shifting,Lexicon,0.5810763814089073
3,COGNITIVE_SYSTEMS,nback_task,Lexicon,0.579146950912769
3,COGNITIVE_SYSTEMS,reaction_time,RDoC,0.5780623528256391
3,COGNITIVE_SYSTEMS,visual_memory,Lexicon,0.5756660012479681
3,COGNITIVE_SYSTEMS,executive_function,Lexicon,0.5724669108796875
3,COGNITIVE_SYSTEMS,change_detection,RDoC,0.5663344538730666
3,COGNITIVE_SYSTEMS,taskswitching,Lexicon,0.5627774896982902
3,COGNITIVE_SYSTEMS,cognitive_process,Lexicon,0.5600019473353552
4,SOCIAL_PROCESSES,empathy,Lexicon,0.6704906179986398
4,SOCIAL_PROCESSES,perspective_taking,RDoC,0.6640181323183116
4,SOCIAL_PROCESSES,empathic_concern,RDoC,0.5815661165421354
4,SOCIAL_PROCESSES,eye_contact,RDoC,0.5808833038160695
4,SOCIAL_PROCESSES,social_cognition,Lexicon,0.5737108508588593
4,SOCIAL_PROCESSES,intentionality,Lexicon,0.5732784315496866
4,SOCIAL_PROCESSES,understanding_others,RDoC,0.563865286966586
4,SOCIAL_PROCESSES,affective_state,Lexicon,0.5591815574173984
4,SOCIAL_PROCESSES,social_communication,RDoC,0.5563478387081481
4,SOCIAL_PROCESSES,self,RDoC,0.5484052024273735
4,SOCIAL_PROCESSES,emotional_expression,RDoC,0.5483833565647009
4,SOCIAL_PROCESSES,joint_attention,RDoC,0.5467009552901861
4,SOCIAL_PROCESSES,mental_state,RDoC,0.5437375315252185
4,SOCIAL_PROCESSES,social_context,Lexicon,0.5436671282714806
4,SOCIAL_PROCESSES,eye_gaze,RDoC,0.543195928087438
4,SOCIAL_PROCESSES,emotion_recognition,RDoC,0.5326123779821751
4,SOCIAL_PROCESSES,judging,Lexicon,0.5319642662874855
