ORDER,DOMAIN,CONSTRUCT,UNIT,TOKEN,CONFIDENCE
0,NEGATIVE_VALENCE,ACUTE_THREAT,CONSTRUCT,acute_threat,1
0,NEGATIVE_VALENCE,ACUTE_THREAT,CONSTRUCT,fear,1
0,NEGATIVE_VALENCE,ACUTE_THREAT,BEHAVIOR,analgesia,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,BEHAVIOR,approach,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,BEHAVIOR,avoidance,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,BEHAVIOR,facial_expression,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,BEHAVIOR,freezing,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,BEHAVIOR,open_field,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,BEHAVIOR,response_inhibition,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,BEHAVIOR,response_time,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,BEHAVIOR,risk_assessment,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,BEHAVIOR,social_approach,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,CONSTRUCT,threat,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,PARADIGMS,behavioral_approach,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,PARADIGMS,behavioral_approach_test,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,PARADIGMS,co2_challenge,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,PARADIGMS,co2_challenge_test,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,PARADIGMS,cold_pressor,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,PARADIGMS,cold_pressor_test,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,PARADIGMS,fear_conditioning,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,PARADIGMS,stranger,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,PARADIGMS,stranger_test,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,PARADIGMS,trier_social_stress,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,PARADIGMS,trier_social_stress_test,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,SELF_REPORT,fear_survey,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,SELF_REPORT,fear_survey_schedule,0
0,NEGATIVE_VALENCE,ACUTE_THREAT,SELF_REPORT,suds,0
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,CONSTRUCT,anxiety,1
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,CONSTRUCT,potential_threat,1
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,CONSTRUCT,threat,0
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,PARADIGMS,npu_threat,0
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,PARADIGMS,npu_threat_task,0
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,SELF_REPORT,anxiety_sensitivity_index,0
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,SELF_REPORT,bis,0
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,SELF_REPORT,fear,0
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,SELF_REPORT,fear_negative_evaluation,0
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,SELF_REPORT,fear_negative_evaluation_scale,0
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,SELF_REPORT,intolerance_uncertainty,0
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,SELF_REPORT,intolerance_uncertainty_scale,0
