DISTANCE,DOMAIN,ORDER,SIMILARITY,SOURCE,TOKEN
0.24731976355290464,NEGATIVE_VALENCE,0,0.7526802364470954,RDoC,avoidance
0.280855703569161,NEGATIVE_VALENCE,0,0.719144296430839,RDoC,threat
0.2859926712536335,NEGATIVE_VALENCE,0,0.7140073287463665,RDoC,anxiety
0.3462216666838437,NEGATIVE_VALENCE,0,0.6537783333161563,RDoC,aggression
0.37032996593561696,NEGATIVE_VALENCE,0,0.629670034064383,RDoC,rumination
0.37315316206884075,NEGATIVE_VALENCE,0,0.6268468379311593,RDoC,worry
0.37575534879798844,NEGATIVE_VALENCE,0,0.6242446512020116,Lexicon,reactivity
0.38014583186956485,NEGATIVE_VALENCE,0,0.6198541681304351,Lexicon,anger
0.38585751755302566,NEGATIVE_VALENCE,0,0.6141424824469743,Lexicon,emotional_reactivity
0.3932538217740774,NEGATIVE_VALENCE,0,0.6067461782259226,RDoC,frustration
0.13526346313988424,POSITIVE_VALENCE,1,0.8647365368601158,RDoC,reward
0.2559096575689741,POSITIVE_VALENCE,1,0.7440903424310259,RDoC,reward_learning
0.27583588699091555,POSITIVE_VALENCE,1,0.7241641130090845,Lexicon,reward_processing
0.29747640878922954,POSITIVE_VALENCE,1,0.7025235912107705,RDoC,reward_response
0.3049938427799339,POSITIVE_VALENCE,1,0.6950061572200661,RDoC,reward_anticipation
0.32456061819847026,POSITIVE_VALENCE,1,0.6754393818015297,RDoC,anticipation
0.33110304530908286,POSITIVE_VALENCE,1,0.6688969546909171,RDoC,response_reward
0.34946215497167854,POSITIVE_VALENCE,1,0.6505378450283215,RDoC,prediction_error
0.35746824139539624,POSITIVE_VALENCE,1,0.6425317586046038,RDoC,valuation
0.3681851533046617,POSITIVE_VALENCE,1,0.6318148466953383,RDoC,reward_prediction_error
0.40911301909878095,POSITIVE_VALENCE,1,0.590886980901219,Lexicon,avoidance
0.4158475491345831,POSITIVE_VALENCE,1,0.5841524508654169,RDoC,reinforcement_learning
0.41665155999705294,POSITIVE_VALENCE,1,0.583348440002947,Lexicon,decision_making
0.4388307036988536,POSITIVE_VALENCE,1,0.5611692963011464,Lexicon,feedback
0.4467824853206043,POSITIVE_VALENCE,1,0.5532175146793957,Lexicon,loss_anticipation
0.44823862864874797,POSITIVE_VALENCE,1,0.551761371351252,Lexicon,intertemporal_choice
0.4598738688137156,POSITIVE_VALENCE,1,0.5401261311862844,Lexicon,gambling_task
0.46119941028140066,POSITIVE_VALENCE,1,0.5388005897185993,Lexicon,wanting
0.46131636530577913,POSITIVE_VALENCE,1,0.5386836346942209,Lexicon,preference
0.4657188255304586,POSITIVE_VALENCE,1,0.5342811744695414,RDoC,reward_valuation
0.47002742243215756,POSITIVE_VALENCE,1,0.5299725775678424,Lexicon,instrumental_learning
0.47204012302588116,POSITIVE_VALENCE,1,0.5279598769741188,Lexicon,food
0.47567811460729015,POSITIVE_VALENCE,1,0.5243218853927099,RDoC,devaluation
0.4764996639011776,POSITIVE_VALENCE,1,0.5235003360988224,Lexicon,feedback_processing
0.2867892832973965,COGNITIVE_SYSTEMS,2,0.7132107167026035,RDoC,performance
0.31522276123896964,COGNITIVE_SYSTEMS,2,0.6847772387610304,RDoC,working_memory
0.3250261280282124,COGNITIVE_SYSTEMS,2,0.6749738719717876,RDoC,interference
0.3832110612261339,COGNITIVE_SYSTEMS,2,0.6167889387738661,RDoC,manipulation
0.38757181250481043,COGNITIVE_SYSTEMS,2,0.6124281874951896,Lexicon,processing_speed
0.39516250215158544,COGNITIVE_SYSTEMS,2,0.6048374978484146,RDoC,attention
0.3992351045810191,COGNITIVE_SYSTEMS,2,0.6007648954189809,Lexicon,shortterm_memory
0.40632668430867946,COGNITIVE_SYSTEMS,2,0.5936733156913205,Lexicon,executive_function
0.4066077589827616,COGNITIVE_SYSTEMS,2,0.5933922410172384,RDoC,dual_task
0.40880327971569996,COGNITIVE_SYSTEMS,2,0.5911967202843,RDoC,maintenance
0.4138369273421324,COGNITIVE_SYSTEMS,2,0.5861630726578676,Lexicon,nback_task
0.4166330279357221,COGNITIVE_SYSTEMS,2,0.5833669720642779,RDoC,selective_attention
0.41830222885433554,COGNITIVE_SYSTEMS,2,0.5816977711456645,RDoC,nback
0.41907381430565305,COGNITIVE_SYSTEMS,2,0.580926185694347,RDoC,updating
0.4244131542330912,COGNITIVE_SYSTEMS,2,0.5755868457669088,Lexicon,visual_search_task
0.42451025502651807,COGNITIVE_SYSTEMS,2,0.5754897449734819,Lexicon,delayed
0.4264331273673768,COGNITIVE_SYSTEMS,2,0.5735668726326232,Lexicon,cognitive_process
0.4303676393968362,COGNITIVE_SYSTEMS,2,0.5696323606031638,RDoC,sustained_attention
0.43140746826535836,COGNITIVE_SYSTEMS,2,0.5685925317346416,Lexicon,taskswitching
0.43488871413256036,COGNITIVE_SYSTEMS,2,0.5651112858674396,RDoC,divided_attention
0.4356163445117791,COGNITIVE_SYSTEMS,2,0.5643836554882209,RDoC,visual_search
0.43819096735082197,COGNITIVE_SYSTEMS,2,0.561809032649178,RDoC,capacity
0.4382812699540508,COGNITIVE_SYSTEMS,2,0.5617187300459492,Lexicon,cueing
0.43917188879106117,COGNITIVE_SYSTEMS,2,0.5608281112089388,RDoC,response_selection
0.4411776066995694,COGNITIVE_SYSTEMS,2,0.5588223933004306,Lexicon,set_shifting
0.33063104526312337,SOCIAL_PROCESSES,3,0.6693689547368766,Lexicon,empathy
0.3661318744815071,SOCIAL_PROCESSES,3,0.6338681255184929,RDoC,perspective_taking
0.4158522153742892,SOCIAL_PROCESSES,3,0.5841477846257108,RDoC,eye_contact
0.425440324404428,SOCIAL_PROCESSES,3,0.574559675595572,Lexicon,affective_state
