CLUSTER,TOKEN,R,ROC_AUC,DOMAIN,TITLE
1,memory,0.12341553019574307,0.5906552699007601,VISION,Vision
1,retrieval,0.12104198385657505,0.5906552699007601,VISION,Vision
1,remembering,0.11820705372613945,0.5906552699007601,VISION,Vision
1,episodic_memory,0.11264331082827216,0.5906552699007601,VISION,Vision
1,memory_retrieval,0.10856204245246248,0.5906552699007601,VISION,Vision
1,visual_imagery,0.10538087944915824,0.5906552699007601,VISION,Vision
1,familiarity,0.10151546057732946,0.5906552699007601,VISION,Vision
1,encoding,0.10118631970593707,0.5906552699007601,VISION,Vision
1,visual_attention,0.09758239126372144,0.5906552699007601,VISION,Vision
1,recognition,0.09674885476030916,0.5906552699007601,VISION,Vision
1,recognition_memory,0.0945938396742563,0.5906552699007601,VISION,Vision
1,vision,0.09142794762615064,0.5906552699007601,VISION,Vision
1,source_memory,0.0878490335754199,0.5906552699007601,VISION,Vision
1,visual_perception,0.08758489454308503,0.5906552699007601,VISION,Vision
1,eye,0.08739769495762148,0.5906552699007601,VISION,Vision
1,imagery,0.08722360392693859,0.5906552699007601,VISION,Vision
1,autobiographical_memory,0.08710370223986609,0.5906552699007601,VISION,Vision
1,spatial_attention,0.08692741957544052,0.5906552699007601,VISION,Vision
1,episodic_simulation,0.08679155209107474,0.5906552699007601,VISION,Vision
1,mental_imagery,0.08649272438322197,0.5906552699007601,VISION,Vision
1,covert,0.0860760639760006,0.5906552699007601,VISION,Vision
2,reward,0.14925515086647226,0.5978759280574402,REACTION_TIME,Reaction Time
2,anticipation,0.14608627321339498,0.5978759280574402,REACTION_TIME,Reaction Time
2,arousal,0.1274288694756811,0.5978759280574402,REACTION_TIME,Reaction Time
2,monitoring,0.11668573726490718,0.5978759280574402,REACTION_TIME,Reaction Time
2,decision_making,0.11524199661114555,0.5978759280574402,REACTION_TIME,Reaction Time
2,reward_processing,0.11422288210561475,0.5978759280574402,REACTION_TIME,Reaction Time
