CLUSTER,TOKEN,R
1,painful_stimulation,0.12688205366689664
1,pain,0.12575353141628307
1,hearing,0.11963941254729266
1,heat,0.11314682852351042
1,movement,0.11009888288839036
1,hand,0.10884387513660297
1,tone,0.10549107667419287
1,listening,0.10088734991204364
1,tactile_stimulation,0.1000915749719406
1,motor_control,0.09876575713731071
1,execution,0.09833138068203967
1,multisensory,0.09246248389840317
1,pain_sensation,0.0921118246056356
1,arm,0.08832077347175471
1,speech,0.08688276327021646
1,perception,0.08492664274913632
1,melody,0.0848273627012816
1,music,0.08279766035265528
1,interoception,0.0823848052356646
1,speech_processing,0.08166326006222785
1,speech_perception,0.08131697775461533
1,somatic_sensation,0.07856018054849717
1,audition,0.07796080860363253
1,passive_listening,0.07785875841423404
1,crossmodal,0.077422210389346
1,auditory_feedback,0.07637829055186138
1,grasp,0.07568962849152369
1,nociception,0.07519663782550212
1,motor_program,0.07514423422585519
1,mechanical_stimulation,0.07458486169300282
1,imagination,0.07347188638632965
1,auditory_perception,0.07174966756588486
1,multisensory_integration,0.07120402110662077
1,motor_planning,0.06732055054094607
1,grasping,0.06713546394919032
1,electrical_stimulation,0.06579568944810629
1,rest,0.06394917420772273
1,representation,0.06354569031912591
1,foot,0.06333775879324681
1,leg,0.06284991786969844
1,heat_stimulation,0.0627770915987231
1,proprioception,0.06200915758674731
1,phonation,0.0618504628474147
1,object_manipulation,0.05983640244679475
1,integration,0.05978955991150121
1,somatic,0.05875904534896566
1,speech_production,0.058166848109879946
1,mouth,0.05816587840300521
1,capsaicinevoked_pain,0.05731657563835786
1,pitch_discrimination,0.05672807541223484
2,spatial_attention,0.1523489181634263
2,attention,0.14490683156657555
2,visual_attention,0.12731304837269047
2,eye,0.12077046939290378
2,visuospatial_attention,0.11921202762158598
2,covert,0.11005335667792343
2,manipulation,0.10906949407155309
2,intention,0.10816645300316902
2,execution,0.10765211338296948
2,eye_movement,0.10464446630030094
2,saccade,0.10389092097881494
2,vision,0.10269702108736103
2,reaction_time,0.10107382788336217
2,mental_representation,0.0999453431145236
2,visual_search,0.09573309407566662
2,spatial,0.09568595287181617
2,action,0.09560337933272704
2,strategy,0.09451671240560125
2,visual_angle,0.09403841591784654
2,grasping,0.0928413960957305
2,working_memory,0.09235177853822214
2,theory_mind,0.0918895480428528
2,goal,0.0906410648985774
2,spatial_location,0.09040721831965433
2,target,0.09002211512481931
2,representation,0.08985498761266429
2,cognitive_process,0.08970918201906533
2,selective_attention,0.08452527663213061
2,response_selection,0.08402610377042513
2,spatial_working_memory,0.08398664001190739
2,monitoring,0.08360843143627252
2,cueing,0.08349113888560453
2,motion_processing,0.08326436526267826
2,gaze,0.08230987973161605
2,visual_perception,0.0813934522553204
2,hand,0.08074547620437644
2,egocentric,0.0803262180121809
2,grasp,0.07900195665411752
2,imagination,0.07867437816115719
2,mental_rotation,0.07814415009925779
2,saccadic_eye_movement,0.07740424407359003
2,task_set,0.07663774278824156
2,updating,0.07491448500174958
2,visual_motion,0.07308784828838998
2,memory,0.07253032463453576
