DISTANCE,DOMAIN,ORDER,SIMILARITY,SOURCE,TOKEN
0.2243186665665694,DEPRESSIVE,0,0.7756813334334306,DSM,major_depressive_disorder
0.25492733663457023,DEPRESSIVE,0,0.7450726633654298,DSM,dysthymia
0.27203881305573385,DEPRESSIVE,0,0.7279611869442661,DSM,depressive_disorder
0.3212861077306137,DEPRESSIVE,0,0.6787138922693863,Lexicon,major_depression
0.33844082610804194,DEPRESSIVE,0,0.6615591738919581,DSM,mdd
0.3556062355954098,DEPRESSIVE,0,0.6443937644045902,Lexicon,depressive
0.38695099639529285,DEPRESSIVE,0,0.6130490036047072,Lexicon,mood_disorder
0.39499432760591524,DEPRESSIVE,0,0.6050056723940848,Lexicon,bipolar_depression
0.4086860295079674,DEPRESSIVE,0,0.5913139704920326,Lexicon,major_depressive
0.4154819577747553,DEPRESSIVE,0,0.5845180422252447,Lexicon,generalized_anxiety
0.4309886053082125,DEPRESSIVE,0,0.5690113946917875,Lexicon,depression
0.4462174830425981,DEPRESSIVE,0,0.5537825169574019,Lexicon,bipolar_ii
0.44746438154375245,DEPRESSIVE,0,0.5525356184562475,Lexicon,major_depressive_episode
0.465520967036433,DEPRESSIVE,0,0.534479032963567,Lexicon,borderline_personality_disorder
0.48015114432827755,DEPRESSIVE,0,0.5198488556717225,Lexicon,mental_disorder
0.14630818865688255,ANXIETY,1,0.8536918113431174,DSM,social_phobia
0.14878605498489295,ANXIETY,1,0.851213945015107,DSM,generalized_anxiety_disorder
0.1618552667496257,ANXIETY,1,0.8381447332503743,DSM,panic_disorder
0.17675868578369203,ANXIETY,1,0.823241314216308,DSM,social_anxiety_disorder
0.19371125807574718,ANXIETY,1,0.8062887419242528,DSM,specific_phobia
0.21043584187160314,ANXIETY,1,0.7895641581283969,DSM,anxiety_disorder
0.2523737445187101,ANXIETY,1,0.7476262554812899,DSM,agoraphobia
0.31341921333331024,ANXIETY,1,0.6865807866666898,Lexicon,generalized_anxiety
0.3633775088041852,ANXIETY,1,0.6366224911958148,Lexicon,phobia
0.3957453091402072,ANXIETY,1,0.6042546908597928,DSM,separation_anxiety_disorder
0.26861409408591674,TRAUMA_STRESSOR,2,0.7313859059140833,DSM,posttraumatic_stress_disorder
0.37386529820978776,TRAUMA_STRESSOR,2,0.6261347017902122,DSM,acute_stress_disorder
0.39750166090135197,TRAUMA_STRESSOR,2,0.602498339098648,DSM,traumarelated_disorder
0.40793307131185563,TRAUMA_STRESSOR,2,0.5920669286881444,DSM,ptsd
0.4421894244442537,TRAUMA_STRESSOR,2,0.5578105755557463,DSM,adjustment_disorder
0.28391861763205284,OBSESSIVE_COMPULSIVE,3,0.7160813823679472,DSM,trichotillomania
0.3636785724104359,OBSESSIVE_COMPULSIVE,3,0.6363214275895641,DSM,body_dysmorphic_disorder
0.38405258134519404,OBSESSIVE_COMPULSIVE,3,0.615947418654806,DSM,obsessivecompulsive_disorder
0.3966222620913773,OBSESSIVE_COMPULSIVE,3,0.6033777379086227,DSM,obsessive_compulsive_disorder
0.43254919411834636,OBSESSIVE_COMPULSIVE,3,0.5674508058816536,DSM,skinpicking_disorder
0.48142940616185126,OBSESSIVE_COMPULSIVE,3,0.5185705938381487,DSM,skin_picking_disorder
0.49884806957882555,OBSESSIVE_COMPULSIVE,3,0.5011519304211745,DSM,excoriation_disorder
0.3556347128740305,DISRUPTIVE,4,0.6443652871259695,DSM,disruptive_disorder
0.37797730613884983,DISRUPTIVE,4,0.6220226938611502,DSM,conduct_disorder
0.4542518797544036,DISRUPTIVE,4,0.5457481202455964,DSM,intermittent_explosive_disorder
0.46657182474074654,DISRUPTIVE,4,0.5334281752592535,DSM,kleptomania
0.4825701027445045,DISRUPTIVE,4,0.5174298972554955,Lexicon,psychiatric_diagnosis
0.48382629747712624,DISRUPTIVE,4,0.5161737025228738,DSM,impulse_control_disorder
0.48402002443318515,DISRUPTIVE,4,0.5159799755668149,Lexicon,cocaine_dependence
0.49801902319162894,DISRUPTIVE,4,0.5019809768083711,DSM,oppositional_defiant_disorder
0.44943281959869963,SUBSTANCE,5,0.5505671804013004,DSM,opioid_use_disorder
0.45121154088643656,SUBSTANCE,5,0.5487884591135634,DSM,substancerelated_disorder
0.4560839172143527,SUBSTANCE,5,0.5439160827856473,DSM,substance_use_disorder
0.45703141221984056,SUBSTANCE,5,0.5429685877801594,DSM,cannabis_use_disorder
0.4606365103511121,SUBSTANCE,5,0.5393634896488879,DSM,cocaine_use_disorder
0.478843150030165,SUBSTANCE,5,0.521156849969835,Lexicon,substance_dependence
0.4845940780162431,SUBSTANCE,5,0.5154059219837569,Lexicon,alcohol_abuse
0.49112776045994966,SUBSTANCE,5,0.5088722395400503,DSM,alcohol_use_disorder
0.4970974379696287,SUBSTANCE,5,0.5029025620303713,DSM,stimulant_use_disorder
0.4971931528969964,SUBSTANCE,5,0.5028068471030036,DSM,alcohol_withdrawal
0.25222778789210043,DEVELOPMENTAL,6,0.7477722121078996,Lexicon,attention_deficit_hyperactivity_disorder
0.2738065981940291,DEVELOPMENTAL,6,0.7261934018059709,DSM,attention_deficithyperactivity_disorder
0.2963352028522094,DEVELOPMENTAL,6,0.7036647971477906,Lexicon,hyperactivity_disorder
0.330520620572054,DEVELOPMENTAL,6,0.669479379427946,DSM,autism_spectrum_disorder
0.33596292391245663,DEVELOPMENTAL,6,0.6640370760875434,DSM,attentiondeficit_hyperactivity_disorder
0.346541137966195,DEVELOPMENTAL,6,0.653458862033805,DSM,neurodevelopmental_disorder
0.3560277538780122,DEVELOPMENTAL,6,0.6439722461219878,DSM,adhd
0.3569538291493053,DEVELOPMENTAL,6,0.6430461708506947,DSM,attentiondeficithyperactivity_disorder
0.4368512908249612,DEVELOPMENTAL,6,0.5631487091750388,Lexicon,child
0.43767250802405466,DEVELOPMENTAL,6,0.5623274919759453,Lexicon,autism
0.4457698728102848,DEVELOPMENTAL,6,0.5542301271897152,DSM,intellectual_disability
