CLUSTER,TOKEN,R,ROC_AUC
1,memory,0.19977213751555933,0.6616032286954484
1,emotion,0.17890174741420034,0.6616032286954484
1,fear,0.17812661735781274,0.6616032286954484
1,episodic_memory,0.17326043841390862,0.6616032286954484
1,declarative_memory,0.16909720910539006,0.6616032286954484
1,remembering,0.16226315806209302,0.6616032286954484
1,valence,0.15887259170026793,0.6616032286954484
1,recognition_memory,0.1567471844378676,0.6616032286954484
1,emotional_memory,0.15123014275342955,0.6616032286954484
1,facial_expression,0.14955412159286452,0.6616032286954484
1,encoding,0.1473622662602704,0.6616032286954484
1,arousal,0.14369810563375568,0.6616032286954484
1,recognition,0.13992681809914725,0.6616032286954484
1,retrieval,0.13732289613130844,0.6616032286954484
1,picture,0.13355657893357994,0.6616032286954484
1,recall,0.13150877497600588,0.6616032286954484
1,face,0.13066105036071676,0.6616032286954484
1,memory_process,0.12994518346826206,0.6616032286954484
1,encoding_task,0.12160411751966214,0.6616032286954484
1,source_memory,0.12043898128314555,0.6616032286954484
1,forgetting,0.12015199148469413,0.6616032286954484
1,autobiographical_memory,0.1186970331181763,0.6616032286954484
1,memory_consolidation,0.11815619278292078,0.6616032286954484
2,manipulation,0.13901541154441482,0.6221136490272522
2,attention,0.1357898819427323,0.6221136490272522
2,spatial_attention,0.13309002063631642,0.6221136490272522
2,vision,0.1253581150319663,0.6221136490272522
2,representation,0.12520251839785368,0.6221136490272522
2,intention,0.12188953252902884,0.6221136490272522
2,action,0.12096943014020226,0.6221136490272522
2,grasping,0.1201986033390614,0.6221136490272522
2,covert,0.11921280112922256,0.6221136490272522
2,visual_attention,0.11494575824310295,0.6221136490272522
2,reaction_time,0.11355582684453948,0.6221136490272522
2,execution,0.11143875187896037,0.6221136490272522
2,working_memory,0.11117976457417232,0.6221136490272522
2,eye,0.10855760766404048,0.6221136490272522
2,goal,0.10843186156813152,0.6221136490272522
2,mental_representation,0.10824585534923016,0.6221136490272522
2,cognitive_process,0.10815468073240428,0.6221136490272522
2,strategy,0.10444218972542853,0.6221136490272522
2,theory_mind,0.10383208013698056,0.6221136490272522
2,rehearsal,0.1036644065474509,0.6221136490272522
2,visuospatial_attention,0.10360681129949348,0.6221136490272522
2,language,0.1023852647550108,0.6221136490272522
2,grasp,0.10159068176824818,0.6221136490272522
2,judgment,0.10091710699559897,0.6221136490272522
2,retrieval,0.10034782399016808,0.6221136490272522
3,execution,0.18159272057661185,0.6163278439365696
3,hand,0.1484659861650027,0.6163278439365696
