ORDER,DOMAIN,TOKEN,SOURCE,DISTANCE,SIMILARITY
1,DEVELOPMENTAL,attention_deficit_hyperactivity_disorder,Lexicon,0.25222778789210054,0.7477722121078995
1,DEVELOPMENTAL,attention_deficithyperactivity_disorder,DSM,0.27380659819402897,0.726193401805971
1,DEVELOPMENTAL,hyperactivity_disorder,Lexicon,0.2963352028522095,0.7036647971477905
1,DEVELOPMENTAL,autism_spectrum_disorder,DSM,0.3305206205720541,0.6694793794279459
1,DEVELOPMENTAL,attentiondeficit_hyperactivity_disorder,DSM,0.33596292391245686,0.6640370760875431
1,DEVELOPMENTAL,neurodevelopmental_disorder,DSM,0.346541137966195,0.653458862033805
1,DEVELOPMENTAL,adhd,DSM,0.3560277538780121,0.6439722461219879
1,DEVELOPMENTAL,attentiondeficithyperactivity_disorder,DSM,0.3569538291493054,0.6430461708506946
1,DEVELOPMENTAL,child,Lexicon,0.43685129082496144,0.5631487091750386
1,DEVELOPMENTAL,autism,Lexicon,0.4376725080240549,0.5623274919759451
1,DEVELOPMENTAL,intellectual_disability,DSM,0.4457698728102848,0.5542301271897152
1,DEVELOPMENTAL,developmental_disorder,Lexicon,0.4528733546780873,0.5471266453219127
1,DEVELOPMENTAL,autistic_disorder,Lexicon,0.47491882585235157,0.5250811741476484
1,DEVELOPMENTAL,learning_disability,Lexicon,0.47925721476571503,0.520742785234285
1,DEVELOPMENTAL,aspergers_syndrome,Lexicon,0.4802406328375196,0.5197593671624804
1,DEVELOPMENTAL,inattention,Lexicon,0.4943996388229327,0.5056003611770673
1,DEVELOPMENTAL,autistic,Lexicon,0.4964671748388617,0.5035328251611383
8,PSYCHOTIC,schizoaffective_disorder,DSM,0.2654312067924055,0.7345687932075945
8,PSYCHOTIC,psychotic_disorder,DSM,0.27038446339457034,0.7296155366054297
8,PSYCHOTIC,schizophreniform_disorder,DSM,0.27991935341180096,0.720080646588199
8,PSYCHOTIC,schizoaffective,Lexicon,0.29204024983826604,0.707959750161734
8,PSYCHOTIC,delusional_disorder,DSM,0.35546259364197474,0.6445374063580253
8,PSYCHOTIC,schizophreniform,Lexicon,0.4406784971417007,0.5593215028582993
8,PSYCHOTIC,schizophrenia,DSM,0.4637943756053141,0.5362056243946859
8,PSYCHOTIC,brief_psychotic_disorder,DSM,0.4657836682481664,0.5342163317518336
8,PSYCHOTIC,psychotic,Lexicon,0.47648793590005156,0.5235120640999484
8,PSYCHOTIC,paranoid,Lexicon,0.48338350946235176,0.5166164905376482
8,PSYCHOTIC,aspergers_syndrome,Lexicon,0.49097163918064557,0.5090283608193544
8,PSYCHOTIC,major_depressive,Lexicon,0.49270570234014355,0.5072942976598565
10,BIPOLAR,bipolar_disorder,DSM,0.09501449085569003,0.90498550914431
10,BIPOLAR,bipolar_ii_disorder,DSM,0.10644180437251993,0.8935581956274801
10,BIPOLAR,bipolar,Lexicon,0.18671549285298283,0.8132845071470172
10,BIPOLAR,major_depression,Lexicon,0.3104471445210998,0.6895528554789002
10,BIPOLAR,mania,Lexicon,0.3155883113347181,0.6844116886652819
10,BIPOLAR,bipolar_ii,Lexicon,0.33133225365535823,0.6686677463446418
10,BIPOLAR,major_depressive,Lexicon,0.38045144711341994,0.6195485528865801
10,BIPOLAR,mood_disorder,Lexicon,0.3891475450600924,0.6108524549399076
