CLUSTER,R,TOKEN,ROC_AUC
1,0.1187312514898113,memory,0.5033962727504931
1,0.1162361264629607,episodic_memory,0.5033962727504931
1,0.1115269311061268,semantic_knowledge,0.5033962727504931
1,0.11027036895554264,semantic_memory,0.5033962727504931
1,0.10843952177358013,semantic_processing,0.5033962727504931
1,0.1075202460321146,retrieval,0.5033962727504931
1,0.10239378117259663,semantic_information,0.5033962727504931
1,0.10136648011303452,recognition_memory,0.5033962727504931
1,0.09986730743763234,remembering,0.5033962727504931
1,0.0976189930349632,recognition,0.5033962727504931
1,0.09635498669260913,episodic_simulation,0.5033962727504931
1,0.09606098459780832,familiarity,0.5033962727504931
1,0.09450405781452167,word,0.5033962727504931
1,0.09329501482068146,autobiographical_memory,0.5033962727504931
1,0.08809169120872615,declarative_memory,0.5033962727504931
1,0.08778561265930579,naming,0.5033962727504931
1,0.08648333280271069,recall,0.5033962727504931
1,0.08608382485096826,source_memory,0.5033962727504931
1,0.08437120496995094,theory_mind,0.5033962727504931
1,0.08384963905197892,imageability,0.5033962727504931
1,0.08145668229469065,prospection,0.5033962727504931
1,0.0792634223313792,meaning,0.5033962727504931
1,0.07748256996800224,free_recall,0.5033962727504931
2,0.1865830730657554,execution,0.5231746013173801
2,0.17641119979570055,movement,0.5231746013173801
2,0.17310729272379552,hand,0.5231746013173801
2,0.1567532270153953,motor_control,0.5231746013173801
2,0.13109123688370106,arm,0.5231746013173801
2,0.11892800543208144,motor_planning,0.5231746013173801
2,0.11008291333869644,grasp,0.5231746013173801
2,0.10994137079387956,motor_learning,0.5231746013173801
2,0.107621718334322,motor_program,0.5231746013173801
2,0.10749065511715762,rehearsal,0.5231746013173801
2,0.10688851842395773,grasping,0.5231746013173801
2,0.10540062615947292,representation,0.5231746013173801
2,0.10405908731766082,imagination,0.5231746013173801
2,0.10401754610606782,action,0.5231746013173801
2,0.10112551291178723,preparation,0.5231746013173801
2,0.09952337014932358,coordination,0.5231746013173801
2,0.09691814487000994,imagery,0.5231746013173801
2,0.09622328225260762,motor_activity,0.5231746013173801
2,0.09506950669742872,covert,0.5231746013173801
2,0.09462035461591498,planning,0.5231746013173801
2,0.09395318976647823,move,0.5231746013173801
2,0.09324132141429327,motor_sequence_learning,0.5231746013173801
2,0.08988365426626048,painful_stimulation,0.5231746013173801
2,0.08879094845064041,object_manipulation,0.5231746013173801
2,0.08687207273886831,foot,0.5231746013173801
3,0.2696768045715313,reward,0.5059883377156154
3,0.2164306578705124,reward_processing,0.5059883377156154
3,0.20106562312431966,reward_anticipation,0.5059883377156154
3,0.149777465842674,anticipation,0.5059883377156154
3,0.1479543203102513,decision_making,0.5059883377156154
3,0.13789499802308508,reward_learning,0.5059883377156154
4,0.1929835877038502,reward,0.5044823680984802
4,0.16161487816999276,anticipation,0.5044823680984802
4,0.15248785109749372,reward_processing,0.5044823680984802
4,0.14462726596998926,reward_anticipation,0.5044823680984802
4,0.1367930806250785,monetary_incentive_delay_task,0.5044823680984802
4,0.10643535166034217,feedback,0.5044823680984802
4,0.09574834328714776,instrumental_conditioning,0.5044823680984802
4,0.09373451139477594,expectancy,0.5044823680984802
4,0.09166480380891368,motor_control,0.5044823680984802
4,0.08961436970002071,reinforcement_learning,0.5044823680984802
4,0.08856470520120471,arousal,0.5044823680984802
4,0.08666912322634834,reward_learning,0.5044823680984802
4,0.08334851372895083,loss_anticipation,0.5044823680984802
4,0.07747534519399607,pain,0.5044823680984802
4,0.07567736641933714,painful_stimulation,0.5044823680984802
4,0.07567701500642478,heat,0.5044823680984802
4,0.07519397011457518,taste,0.5044823680984802
4,0.07502363487438732,addiction,0.5044823680984802
4,0.07376577378819706,wanting,0.5044823680984802
4,0.07369202605970722,salience,0.5044823680984802
4,0.07168729251369955,decision_making,0.5044823680984802
4,0.07102738762954491,learning,0.5044823680984802
4,0.07024189785547738,nociception,0.5044823680984802
4,0.06962340758915164,habit_learning,0.5044823680984802
5,0.1382040034077553,episodic_memory,0.5097003594440639
5,0.13441606222130215,memory,0.5097003594440639
5,0.1278430478110576,remembering,0.5097003594440639
5,0.1259983887176536,memory_retrieval,0.5097003594440639
5,0.12460999247839655,retrieval,0.5097003594440639
5,0.11324999173822192,autobiographical_memory,0.5097003594440639
5,0.10142526727367343,prospection,0.5097003594440639
5,0.09892870391106053,recall,0.5097003594440639
5,0.09560542154794828,visual_imagery,0.5097003594440639
5,0.09449953419752072,source_memory,0.5097003594440639
5,0.09432615138861934,encoding,0.5097003594440639
5,0.09338984989687216,episodic_simulation,0.5097003594440639
5,0.0921736458959198,navigation,0.5097003594440639
5,0.0894789098151484,recognition_memory,0.5097003594440639
5,0.08586895750773813,spatial_memory,0.5097003594440639
5,0.08386263454813274,mental_imagery,0.5097003594440639
5,0.08047334293360385,theory_mind,0.5097003594440639
5,0.07886550654077733,familiarity,0.5097003594440639
5,0.07657979743253078,episodic_future_thinking,0.5097003594440639
5,0.07544518583392035,thinking,0.5097003594440639
5,0.0738349402297876,thought,0.5097003594440639
5,0.07295736695781709,imagery,0.5097003594440639
5,0.0723588450173996,visual_attention,0.5097003594440639
6,0.175249004681607,face_perception,0.522676555323297
6,0.16221295870998426,recognition,0.522676555323297
6,0.15905493465409776,familiarity,0.522676555323297
6,0.1436872045673733,object_recognition,0.522676555323297
6,0.1414424028448155,retrieval,0.522676555323297
6,0.13749330554507025,picture,0.522676555323297
6,0.1367724068299735,face,0.522676555323297
6,0.13266952815743752,memory,0.522676555323297
6,0.13228881193067915,face_recognition,0.522676555323297
6,0.1302865710918709,visual_object,0.522676555323297
6,0.1243334345198064,word,0.522676555323297
6,0.12321473717822665,remembering,0.522676555323297
6,0.12227147029048925,semantic_processing,0.522676555323297
7,0.20314030997843371,memory,0.5109983295736078
7,0.17842472845905188,fear,0.5109983295736078
7,0.17736400596520016,emotion,0.5109983295736078
7,0.17654930483710868,declarative_memory,0.5109983295736078
7,0.17287594555321134,episodic_memory,0.5109983295736078
7,0.16384933175522512,recognition_memory,0.5109983295736078
7,0.15981375559793365,remembering,0.5109983295736078
7,0.1548873288303562,emotional_memory,0.5109983295736078
7,0.1527964010585595,valence,0.5109983295736078
7,0.14889803945971708,facial_expression,0.5109983295736078
7,0.1485079990299607,encoding,0.5109983295736078
7,0.14558742655132054,recognition,0.5109983295736078
7,0.13948072859962335,arousal,0.5109983295736078
7,0.13934190130397728,face,0.5109983295736078
8,0.2371537050219132,hearing,0.5236784416471586
8,0.2364094078770297,speech,0.5236784416471586
8,0.2259503105834436,listening,0.5236784416471586
8,0.2098983652909576,speech_perception,0.5236784416471586
8,0.2055263831909973,speech_processing,0.5236784416471586
8,0.1773644209583254,tone,0.5236784416471586
8,0.16582549021751633,music,0.5236784416471586
8,0.1597863474875526,passive_listening,0.5236784416471586
8,0.15429781701536874,auditory_perception,0.5236784416471586
8,0.15169336563062724,melody,0.5236784416471586
8,0.14635698536699898,syllable,0.5236784416471586
8,0.14539451667135786,speech_production,0.5236784416471586
8,0.14364286821165476,language,0.5236784416471586
8,0.1372736848334076,audition,0.5236784416471586
8,0.1279517041738923,prosody,0.5236784416471586
8,0.12359243179969348,intonation,0.5236784416471586
8,0.12353660370897787,language_processing,0.5236784416471586
8,0.12200055029565217,pitch_discrimination,0.5236784416471586
8,0.1122651934364588,perception,0.5236784416471586
