CLUSTER,TOKEN,R,ROC_AUC
1,memory,0.2080509761623653,0.6422603860976038
1,episodic_memory,0.183398545817645,0.6422603860976038
1,declarative_memory,0.17852630436296624,0.6422603860976038
1,remembering,0.16891935436245026,0.6422603860976038
1,emotion,0.16455209556007533,0.6422603860976038
1,recognition_memory,0.16361068890114328,0.6422603860976038
1,fear,0.16227137793494142,0.6422603860976038
1,encoding,0.15516907997889756,0.6422603860976038
1,emotional_memory,0.1544867554915086,0.6422603860976038
2,hearing,0.2300526240160818,0.6474480866775141
2,speech,0.2177103901814185,0.6474480866775141
2,listening,0.21677873842095516,0.6474480866775141
2,speech_perception,0.19924885197034806,0.6474480866775141
2,speech_processing,0.1956278531255612,0.6474480866775141
3,arousal,0.1107994643399392,0.5853312781737339
3,cognitive_control,0.11015385307318094,0.5853312781737339
3,reaction_time,0.1043214444679533,0.5853312781737339
3,valence,0.10302461025870348,0.5853312781737339
3,working_memory,0.1025531947286698,0.5853312781737339
3,cognitive_process,0.1023546141108299,0.5853312781737339
3,monitoring,0.10138756640481307,0.5853312781737339
3,decision_making,0.09913747044022674,0.5853312781737339
3,context,0.0985048497117745,0.5853312781737339
3,strategy,0.09789478765047233,0.5853312781737339
3,retrieval,0.09409506384116544,0.5853312781737339
3,cognitive,0.0931752247943136,0.5853312781737339
3,emotion,0.09174211530473107,0.5853312781737339
4,vision,0.15270209317685793,0.6205632453934524
4,face_perception,0.14507551759389858,0.6205632453934524
4,visual_attention,0.13810359212891454,0.6205632453934524
4,recognition,0.13352642177034016,0.6205632453934524
4,object_recognition,0.13116789785012045,0.6205632453934524
4,visual_angle,0.1294935943173144,0.6205632453934524
5,reward,0.31054621602485905,0.6432339306226522
5,reward_anticipation,0.2654069207375782,0.6432339306226522
5,reward_processing,0.24780808659067474,0.6432339306226522
5,monetary_incentive_delay_task,0.20482501621764715,0.6432339306226522
5,anticipation,0.1780608985865225,0.6432339306226522
5,reward_learning,0.1645453018575135,0.6432339306226522
6,monitoring,0.1300494608113142,0.5845822078445276
6,reward,0.11430796323356288,0.5845822078445276
6,anticipation,0.10944424768215996,0.5845822078445276
6,decision_making,0.09908604403362682,0.5845822078445276
6,arousal,0.09525629393210802,0.5845822078445276
6,error_detection,0.0915983651542746,0.5845822078445276
6,reward_processing,0.09045110033886493,0.5845822078445276
7,execution,0.1921169446603027,0.5609076655561043
7,hand,0.1609710683009415,0.5609076655561043
7,movement,0.14704905677710256,0.5609076655561043
7,working_memory,0.1444649645818266,0.5609076655561043
7,manipulation,0.13510620796621695,0.5609076655561043
7,rehearsal,0.13046342875722827,0.5609076655561043
7,action,0.1278358801370807,0.5609076655561043
7,motor_control,0.12078055514206835,0.5609076655561043
7,grasping,0.11995061533609827,0.5609076655561043
7,grasp,0.1180971011475132,0.5609076655561043
8,word,0.16756708918304195,0.6268001937653932
8,semantic_processing,0.16121791823759918,0.6268001937653932
8,familiarity,0.15520475861148367,0.6268001937653932
8,recognition,0.15401093901429966,0.6268001937653932
8,naming,0.15116807188256895,0.6268001937653932
8,face_perception,0.14983523267411314,0.6268001937653932
8,retrieval,0.14339576556117384,0.6268001937653932
8,reading,0.13697835486280105,0.6268001937653932
9,reward,0.18861313257593768,0.6123295778731125
9,reward_processing,0.15082657981725553,0.6123295778731125
9,valence,0.12845610787599115,0.6123295778731125
9,reward_anticipation,0.12408082484198575,0.6123295778731125
9,decision_making,0.1236258367887819,0.6123295778731125
9,autobiographical_memory,0.11168718526489517,0.6123295778731125
9,arousal,0.10719915702315404,0.6123295778731125
9,emotion,0.10658048380656372,0.6123295778731125
9,anticipation,0.10170655797323414,0.6123295778731125
9,social_cognition,0.09807467350130626,0.6123295778731125
9,reward_learning,0.09421152118012599,0.6123295778731125
9,salience,0.0941197303195535,0.6123295778731125
9,prospection,0.09214314451457896,0.6123295778731125
9,mood,0.09166647084889926,0.6123295778731125
9,intertemporal_choice,0.09072999959349798,0.6123295778731125
10,visual_imagery,0.09710436712373582,0.5562439377072989
10,memory,0.09478440730474716,0.5562439377072989
10,remembering,0.09447374025784648,0.5562439377072989
10,memory_retrieval,0.09177281979969916,0.5562439377072989
10,episodic_memory,0.0902942453480972,0.5562439377072989
