CLUSTER,R,TOKEN
1,0.12654045510772385,motor_control
1,0.10838149959923493,movement
1,0.10826908483466366,motor_learning
1,0.09696030315496254,execution
1,0.0797056551857935,coordination
1,0.07907320998923707,motor_sequence_learning
1,0.07577901188727153,arm
1,0.07007127810613822,motor_planning
1,0.06968156894081812,hand
1,0.06848468242934001,motor_activity
1,0.06356219740013214,skill
1,0.06346291354798399,tapping_task
1,0.06240528604469076,rest
1,0.061590156983273026,imagination
1,0.06047223311356255,finger_tapping
1,0.05989070747938219,imagery
1,0.058648313933788894,covert
1,0.05775327406393242,auditory_feedback
1,0.0568752297098553,planning
1,0.05687488688560848,visual_imagery
1,0.05475614591195464,ataxia
1,0.054115674584497175,skill_acquisition
1,0.05152893493994167,articulatory_rehearsal
1,0.05078560786824332,retrieval
1,0.050212401420446855,motor_program
2,0.13128246897250423,execution
2,0.12875301150739057,hand
2,0.12259075690893423,movement
2,0.11120548391386932,grasping
2,0.10930283078958528,spatial_attention
2,0.10770610323171347,representation
2,0.10696224843624058,action
2,0.10659341002647438,intention
2,0.10452742087741146,attention
2,0.09858076838625826,grasp
2,0.09845163107699087,eye
2,0.09581674279577918,covert
2,0.08956631346651914,manipulation
2,0.08756273237147107,imagination
2,0.08571907225832003,arm
2,0.08530882765366309,perception
2,0.0850090877381354,visuospatial_attention
2,0.08472470460972885,mental_representation
2,0.08268297226607063,vision
2,0.07979433369399305,motor_control
2,0.07910224051866092,motor_planning
2,0.07825378946566597,motion_processing
2,0.07701076684248712,object_manipulation
2,0.07628584896217343,visual_attention
2,0.07463751225927437,spatial
3,0.13878901596822263,episodic_memory
3,0.13185687961914608,autobiographical_memory
3,0.11526916006056553,memory
3,0.11273862362292364,remembering
3,0.1042039274355266,prospection
3,0.10276145872885942,retrieval
3,0.10152642846991058,memory_retrieval
3,0.09285043160309764,episodic_simulation
3,0.08762745517160014,recall
3,0.08504057949646858,source_memory
3,0.08242450963245082,theory_mind
3,0.08153338722831392,thinking
3,0.07911619186912625,consciousness
3,0.07810835526344792,selfreflection
3,0.07745826056182022,thought
3,0.07528963937123397,navigation
3,0.07189130244552411,recognition_memory
3,0.06759957721074586,encoding
3,0.06757395700924465,episodic_future_thinking
3,0.06664492041340472,encoding_task
3,0.06360264974181142,spatial_memory
3,0.061893638744461535,declarative_memory
3,0.0609258858080966,salience
