"About the data: Exported on Dec 21, 2018. Criteria: Text - '26441569 OR 26441576 OR 26441584 OR 26441588 OR 26441595 OR 26441600 OR 26441601 OR 26442464 OR 26442666 OR 26442751 OR 26445698 OR 26446226 OR 26448909 OR 26449989 OR 26450814 OR 26452176 OR 26453902...' in full data. For more information, please see https://app.dimensions.ai/datasources.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors Affiliations,Research Organizations - standardized,GRID IDs,Country of Research organization,Funder,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
0,pub.1035506964,10.1371/journal.pone.0170143,28081226,5231336,Regional Homogeneity Changes in Nicotine Addicts by Resting-State fMRI,PLoS ONE,,Adult; Automatic Data Processing; Biomarkers; Brain; Brain Mapping; Case-Control Studies; Gyrus Cinguli; Humans; Magnetic Resonance Imaging; Middle Aged; Nicotine; Smoking; Tobacco Use Disorder; User-Computer Interface; Young Adult,2017,12,1,e0170143,All OA; Gold,article,"Chen, Hongbo; Mo, Shaofeng","Chen, Hongbo (Guilin University of Electronic Technology); Mo, Shaofeng (Central South University)",Central South University; Guilin University of Electronic Technology,grid.216417.7; grid.440723.6,China; China,National Natural Science Foundation of China,1,1,0,0,,https://doi.org/10.1371/journal.pone.0170143,https://app.dimensions.ai/details/publication/pub.1035506964,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,
0,pub.1091547374,10.1371/journal.pone.0184325,28880891,5589232,Altered right anterior insular connectivity and loss of associated functions in adolescent chronic fatigue syndrome,PLoS ONE,,"Adolescent; Brain Mapping; Cerebral Cortex; Child; Depression; Fatigue; Fatigue Syndrome, Chronic; Female; Humans; Linear Models; Magnetic Resonance Imaging; Male; Memory, Short-Term; Neural Pathways; Surveys and Questionnaires",2017,12,9,e0184325,All OA; Gold,article,"Wortinger, Laura Anne; Øie, Merete Glenne; Endestad, Tor; Wyller, Vegard Bruun","Wortinger, Laura Anne (Akershus University Hospital; University of Oslo); Øie, Merete Glenne (University of Oslo; Innlandet Hospital Trust); Endestad, Tor (University of Oslo); Wyller, Vegard Bruun (Akershus University Hospital)",Akershus University Hospital; University of Oslo; Innlandet Hospital Trust,grid.411279.8; grid.5510.1; grid.412929.5,Norway; Norway; Norway,The Research Council of Norway; Southern and Eastern Norway Regional Health Authority,2,2,0,0,17,http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0184325&type=printable,https://app.dimensions.ai/details/publication/pub.1091547374,1701 Psychology,1701 Psychology,,,,
0,pub.1059445147,10.1093/brain/aww097,27190019,,The migraine generator revisited: continuous scanning of the migraine cycle over 30 days and three spontaneous attacks.,Brain,,"Adult; Female; Functional Neuroimaging; Humans; Hypothalamus; Magnetic Resonance Imaging; Migraine Disorders; Pontine Tegmentum; Trigeminal Nucleus, Spinal",2016,139,Pt 7,1987-93,All OA; Gold,article,"Schulte, Laura H; May, Arne","Schulte, Laura H (University Medical Center Hamburg-Eppendorf); May, Arne (University Medical Center Hamburg-Eppendorf)",University Medical Center Hamburg-Eppendorf,grid.13648.38,Germany,,94,91,15.7,25.33,179,https://academic.oup.com/brain/article-pdf/139/7/1987/7460741/aww097.pdf,https://app.dimensions.ai/details/publication/pub.1059445147,1109 Neurosciences,1109 Neurosciences,,,,
0,pub.1059458794,10.1093/cercor/bhw108,27114174,,The Cortical Processing of Sensorimotor Sequences is Disrupted in Writer's Cramp.,Cerebral Cortex,,"Adult; Dystonic Disorders; Electroencephalography; Female; Humans; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Male; Middle Aged; Motor Cortex; Movement; Somatosensory Cortex",2016,27,4,2544-2559,All OA; Gold,article,"Langbour, N; Michel, V; Dilharreguy, B; Guehl, D; Allard, M; Burbaud, P","Langbour, N (Neurodegeneratives Diseases Institute); Michel, V (Neurodegeneratives Diseases Institute; Centre Hospitalier Universitaire de Bordeaux); Dilharreguy, B (Institut de Neurosciences Cognitives et Intégratives d’Aquitaine; French National Centre for Scientific Research); Guehl, D (Neurodegeneratives Diseases Institute; Centre Hospitalier Universitaire de Bordeaux); Allard, M (Institut de Neurosciences Cognitives et Intégratives d’Aquitaine; French National Centre for Scientific Research; Centre Hospitalier Universitaire de Bordeaux); Burbaud, P (Neurodegeneratives Diseases Institute; Centre Hospitalier Universitaire de Bordeaux)",Centre Hospitalier Universitaire de Bordeaux; Institut de Neurosciences Cognitives et Intégratives d’Aquitaine; French National Centre for Scientific Research; Neurodegeneratives Diseases Institute,grid.42399.35; grid.462004.4; grid.4444.0; grid.462010.1,France; France; France; France,French National Centre for Scientific Research,2,2,0.67,0.67,1,https://academic.oup.com/cercor/article-pdf/27/4/2544/13146331/bhw108.pdf,https://app.dimensions.ai/details/publication/pub.1059458794,1109 Neurosciences; 1701 Psychology,1109 Neurosciences,1701 Psychology,,,
0,pub.1067642719,10.1523/jneurosci.0425-16.2016,27335409,,Neural Global Pattern Similarity Underlies True and False Memories.,Journal of Neuroscience,,"Adult; Brain; Brain Mapping; Female; Humans; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Male; Memory; Mental Recall; Oxygen; Repression, Psychology; Semantics; Young Adult",2016,36,25,6792-802,All OA; Gold,article,"Ye, Zhifang; Zhu, Bi; Zhuang, Liping; Lu, Zhonglin; Chen, Chuansheng; Xue, Gui","Ye, Zhifang (Beijing Normal University); Zhu, Bi (Beijing Normal University); Zhuang, Liping (Beijing Normal University); Lu, Zhonglin (The Ohio State University); Chen, Chuansheng (University of California, Irvine); Xue, Gui (Beijing Normal University)","The Ohio State University; Beijing Normal University; University of California, Irvine",grid.261331.4; grid.20513.35; grid.266093.8,United States; China; United States,,2,2,0.13,0.8,17,http://www.jneurosci.org/content/36/25/6792.full.pdf,https://app.dimensions.ai/details/publication/pub.1067642719,1701 Psychology; 1109 Neurosciences; 1702 Cognitive Sciences,1701 Psychology,1109 Neurosciences,1702 Cognitive Sciences,,
0,pub.1067426860,10.1503/jpn.150147,27070350,PMC5082510,Male-typical visuospatial functioning in gynephilic girls with gender dysphoria - organizational and activational effects of testosterone.,Journal of Psychiatry and Neuroscience,,"Adolescent; Brain; Female; Gender Dysphoria; Homosexuality, Female; Hormones; Humans; Imagination; Magnetic Resonance Imaging; Male; Neuropsychological Tests; Rotation; Saliva; Sex Characteristics; Sexual Behavior; Space Perception; Testosterone; Treatment Outcome",2016,41,6,395-404,All OA; Gold,article,"Burke, Sarah M; Kreukels, Baudewijntje P C; Cohen-Kettenis, Peggy T; Veltman, Dick J; Klink, Daniel T; Bakker, Julie","Burke, Sarah M (VU University Medical Center); Kreukels, Baudewijntje P C (VU University Medical Center); Cohen-Kettenis, Peggy T (VU University Medical Center); Veltman, Dick J (VU University Medical Center); Klink, Daniel T (VU University Medical Center); Bakker, Julie (VU University Medical Center)",VU University Medical Center,grid.16872.3a,Netherlands,,4,4,0.65,1.68,8,http://jpn.ca/wp-content/uploads/2016/10/41-6-395.pdf,https://app.dimensions.ai/details/publication/pub.1067426860,1701 Psychology,1701 Psychology,,,,
0,pub.1067642838,10.1523/jneurosci.1130-15.2016,27225773,PMC4879201,Encoding of Touch Intensity But Not Pleasantness in Human Primary Somatosensory Cortex.,Journal of Neuroscience,,Adult; Affect; Female; Happiness; Humans; Male; Nerve Net; Physical Stimulation; Pregnancy; Somatosensory Cortex; Touch; Touch Perception; Young Adult,2016,36,21,5850-60,All OA; Gold,article,"Case, Laura K; Laubacher, Claire M; Olausson, Håkan; Wang, Binquan; Spagnolo, Primavera A; Bushnell, M Catherine","Case, Laura K (); Laubacher, Claire M (); Olausson, Håkan (Linköping University); Wang, Binquan (); Spagnolo, Primavera A (National Institute On Alcohol Abuse and Alcoholism); Bushnell, M Catherine ()",National Institute On Alcohol Abuse and Alcoholism; Linköping University,grid.420085.b; grid.5640.7,United States; Sweden,National Center for Complementary and Integrative Health,23,23,3.8,7.69,10,http://www.jneurosci.org/content/jneuro/36/21/5850.full.pdf,https://app.dimensions.ai/details/publication/pub.1067642838,1109 Neurosciences; 1701 Psychology,1109 Neurosciences,1701 Psychology,,,
0,pub.1101546344,10.1371/journal.pone.0194388,29543871,5854385,The effect of task modality and stimulus frequency in paced serial addition tests on functional brain activity,PLoS ONE,,"Acoustic Stimulation; Adult; Analysis of Variance; Attention; Brain; Cognition; Female; Humans; Magnetic Resonance Imaging; Memory, Short-Term; Nerve Net; Neuropsychological Tests; Photic Stimulation; Psychomotor Performance",2018,13,3,e0194388,All OA; Gold,article,"Gielen, Jeroen; Wiels, Wietse; Van Schependom, Jeroen; Laton, Jorne; Van Hecke, Wim; Parizel, Paul M.; D’hooghe, Marie Beatrice; Nagels, Guy","Gielen, Jeroen (); Wiels, Wietse (); Van Schependom, Jeroen (University of Mons); Laton, Jorne (); Van Hecke, Wim (Icometrix (Belgium)); Parizel, Paul M. (University of Antwerp); D’hooghe, Marie Beatrice (); Nagels, Guy (University of Mons)",University of Antwerp; University of Mons; Icometrix (Belgium),grid.5284.b; grid.8364.9; grid.435381.8,Belgium; Belgium; Belgium,Novartis (Switzerland),0,0,0,0,1,https://doi.org/10.1371/journal.pone.0194388,https://app.dimensions.ai/details/publication/pub.1101546344,1701 Psychology; 1109 Neurosciences,1701 Psychology,1109 Neurosciences,,,
0,pub.1067643002,10.1523/jneurosci.1954-15.2016,27147654,,Different Brain Circuitries Mediating Controllable and Uncontrollable Pain.,Journal of Neuroscience,,Adolescent; Adult; Anxiety; Brain; Brain Mapping; Cerebral Cortex; Female; Healthy Volunteers; Humans; Internal-External Control; Magnetic Resonance Imaging; Male; Nerve Net; Nociception; Pain; Pain Measurement; Prefrontal Cortex; Thermosensing; Young Adult,2016,36,18,5013-25,All OA; Gold,article,"Bräscher, Anne-Kathrin; Becker, Susanne; Hoeppli, Marie-Eve; Schweinhardt, Petra","Bräscher, Anne-Kathrin (McGill University); Becker, Susanne (McGill University); Hoeppli, Marie-Eve (McGill University); Schweinhardt, Petra ()",McGill University,grid.14709.3b,Canada,Canadian Institutes of Health Research,21,21,2.35,5.66,19,http://www.jneurosci.org/content/jneuro/36/18/5013.full.pdf,https://app.dimensions.ai/details/publication/pub.1067643002,1109 Neurosciences,1109 Neurosciences,,,,
0,pub.1067643295,10.1523/jneurosci.4365-15.2016,27358453,PMC4926241,"Gain in Body Fat Is Associated with Increased Striatal Response to Palatable Food Cues, whereas Body Fat Stability Is Associated with Decreased Striatal Response.",Journal of Neuroscience,,Adipose Tissue; Adolescent; Body Weight; Brain Mapping; Corpus Striatum; Cross-Sectional Studies; Cues; Female; Food; Humans; Longitudinal Studies; Male; Reward; Visual Analog Scale,2016,36,26,6949-56,All OA; Gold,article,"Stice, Eric; Yokum, Sonja","Stice, Eric (Oregon Research Institute); Yokum, Sonja (Oregon Research Institute)",Oregon Research Institute,grid.280332.8,United States,National Institute of Diabetes and Digestive and Kidney Diseases,13,13,1.59,5.45,4,http://www.jneurosci.org/content/36/26/6949.full.pdf,https://app.dimensions.ai/details/publication/pub.1067643295,1701 Psychology,1701 Psychology,,,,
