"About the data: Exported on Dec 21, 2018. Criteria: Text - '16356738 OR 16359648 OR 16360121 OR 16360321 OR 16361059 OR 16364058 OR 16364059 OR 16364137 OR 16364548 OR 16364549 OR 16367791 OR 16368192 OR 16368249 OR 16369836 OR 16372256 OR 16373455 OR 16376861...' in full data. For more information, please see https://app.dimensions.ai/datasources.",,,,,,,,,,,,,
Publication ID,DOI,Title,Source title/Anthology title,PubYear,Volume,Issue,Pagination,Authors,Authors Affiliations - Name of Research organization,Authors Affiliations - Country of Research organization,Dimensions URL,Times cited,Publication IDs of cited references
pub.1039331395,10.1371/journal.pcbi.1004237,Is Model Fitting Necessary for Model-Based fMRI?,PLoS Computational Biology,2015,11,6,e1004237,"Wilson, Robert C.; Niv, Yael",University of Arizona; Princeton University,United States; United States,https://app.dimensions.ai/details/publication/pub.1039331395,20,pub.1048835376; pub.1002103484; pub.1017812456; pub.1011862805; pub.1026153132; pub.1043433073; pub.1058304855; pub.1022241690; pub.1011628537; pub.1045596512; pub.1019795168; pub.1000979772; pub.1014496037; pub.1024451675; pub.1026956227; pub.1021246812; pub.1009970391; pub.1028821771; pub.1010977533; pub.1022208168; pub.1005427395; pub.1025526768; pub.1004893585; pub.1037795051; pub.1052149439; pub.1030326345; pub.1053677811; pub.1005739616; pub.1051389033; pub.1050241594; pub.1040655385; pub.1034388827; pub.1049675562; pub.1026334933; pub.1060445995; pub.1020297092
pub.1020440179,10.1371/journal.pone.0128787,Increased Intrinsic Connectivity of the Default Mode Network in Temporal Lobe Epilepsy: Evidence from Resting-State MEG Recordings,PLoS ONE,2015,10,6,e0128787,"Hsiao, Fu-Jung; Yu, Hsiang-Yu; Chen, Wei-Ta; Kwan, Shang-Yeong; Chen, Chien; Yen, Der-Jen; Yiu, Chun-Hing; Shih, Yang-Hsin; Lin, Yung-Yang",National Yang Ming University; Taipei City Hospital; Taipei Veterans General Hospital,Taiwan; Taiwan; Taiwan,https://app.dimensions.ai/details/publication/pub.1020440179,16,pub.1009837898; pub.1010662222; pub.1039010654; pub.1064363332; pub.1064345970; pub.1019522125; pub.1019131882; pub.1026461232; pub.1017455767; pub.1037537364; pub.1027153642; pub.1025904378; pub.1024995801; pub.1020763675; pub.1020736177; pub.1025393420; pub.1025604721; pub.1044615820; pub.1029775960; pub.1011683705; pub.1019642097; pub.1033413437; pub.1030292348; pub.1001112696; pub.1049179327; pub.1043729815; pub.1009729016; pub.1015936315; pub.1038064015; pub.1001439113; pub.1018007082; pub.1007361259; pub.1044712070; pub.1042429864; pub.1018439942; pub.1038101778; pub.1037643734; pub.1041947066; pub.1036099871; pub.1018929570; pub.1042148247; pub.1000609933; pub.1021976416; pub.1037652268; pub.1008623590; pub.1078240043; pub.1038527804; pub.1064362068; pub.1028050160; pub.1007301616; pub.1002095909; pub.1030896890; pub.1014960391; pub.1064356211; pub.1053353411; pub.1025367852; pub.1024237556; pub.1009138592; pub.1052982495; pub.1000761859; pub.1014993915; pub.1025815181; pub.1046582794; pub.1009489144; pub.1011793827; pub.1010754104; pub.1015307749; pub.1018214214; pub.1028810888; pub.1046724503; pub.1017858507; pub.1052142369; pub.1015659067; pub.1062452085; pub.1006494273; pub.1029034644; pub.1000399570; pub.1050516276; pub.1018482637; pub.1003213254; pub.1011690254; pub.1002026033; pub.1015457221; pub.1009726020; pub.1034894767; pub.1024577780; pub.1007671918; pub.1041179616; pub.1064355827; pub.1051698512; pub.1039256961; pub.1001415246; pub.1030061640; pub.1044754823; pub.1032370038; pub.1031138691
pub.1014357716,10.1371/journal.pone.0166704,Neural Correlates of Contrast and Humor: Processing Common Features of Verbal Irony,PLoS ONE,2016,11,11,e0166704,"Obert, Alexandre; Gierski, Fabien; Calmus, Arnaud; Flucher, Aurélie; Portefaix, Christophe; Pierot, Laurent; Kaladjian, Arthur; Caillies, Stéphanie",University of Reims Champagne-Ardenne; Hôpital Robert Debré; Centre Hospitalier Universitaire De Reims; Hôpital Maison Blanche,France; France; France; France,https://app.dimensions.ai/details/publication/pub.1014357716,4,pub.1035173384; pub.1049339643; pub.1014893075; pub.1029796584; pub.1051103351; pub.1077470306; pub.1020530909; pub.1046442605; pub.1021455286; pub.1005708057; pub.1043973674; pub.1016883654; pub.1011633895; pub.1041327466; pub.1046660590; pub.1030563933; pub.1029356381; pub.1008897380; pub.1039143723; pub.1052323430; pub.1044684758; pub.1007789460; pub.1032539816; pub.1048245677; pub.1041667482; pub.1041279969; pub.1049913223; pub.1005755642; pub.1038490865; pub.1022807853; pub.1009342832; pub.1006258856; pub.1019781343; pub.1008660773; pub.1028074978; pub.1021923434; pub.1020976414; pub.1002696541; pub.1037148069; pub.1043788216; pub.1034692782; pub.1044086592; pub.1011372086; pub.1022259601; pub.1036554534; pub.1045779150; pub.1059444833; pub.1018998812; pub.1046872717; pub.1010796188; pub.1008623590; pub.1038888016
pub.1003136777,10.1371/journal.pone.0076823,Gray and White Matter Distribution in Dyslexia: A VBM Study of Superior Temporal Gyrus Asymmetry,PLoS ONE,2013,8,10,e76823,"Dole, Marjorie; Meunier, Fanny; Hoen, Michel",Laboratoire de Psychologie et NeuroCognition; University of Lyon System; Lyon Neuroscience Research Center,France; France; France,https://app.dimensions.ai/details/publication/pub.1003136777,10,pub.1001562045; pub.1075276305; pub.1042330675; pub.1038110076; pub.1017268212; pub.1020167992; pub.1026230761; pub.1037100269; pub.1044768029; pub.1062351539; pub.1046152060; pub.1032651186; pub.1012151607; pub.1040987098; pub.1002994108; pub.1000648882; pub.1015175908; pub.1036076598; pub.1011438232; pub.1064346259; pub.1004344169; pub.1037641812; pub.1006414979; pub.1053889568; pub.1013874712; pub.1002315772; pub.1028354406; pub.1010526111; pub.1028222846; pub.1012373296; pub.1062320821; pub.1048537607; pub.1018463573; pub.1050989457; pub.1019011888; pub.1038109490; pub.1048437819; pub.1002073805; pub.1006832149; pub.1034118728; pub.1030107212; pub.1012642085; pub.1011453237; pub.1001405780; pub.1023485941; pub.1008623590; pub.1036839979; pub.1062320845; pub.1038143326; pub.1006796647; pub.1013947295; pub.1015983159; pub.1003403906; pub.1047480590; pub.1001659725; pub.1049304067; pub.1042626088; pub.1030591763; pub.1048956952; pub.1002268426; pub.1023501994; pub.1022862932; pub.1001379547; pub.1022522585; pub.1010580701; pub.1005375040; pub.1030284566; pub.1025995203; pub.1061170514; pub.1017487366; pub.1019429390; pub.1013228584; pub.1013817662; pub.1009862600; pub.1042428193; pub.1042365406; pub.1032501721; pub.1004496732; pub.1032812545; pub.1018050448; pub.1062269042; pub.1026658432; pub.1030211631; pub.1002035406; pub.1052784155; pub.1024875667; pub.1004841921; pub.1037367940; pub.1040151587; pub.1035757322; pub.1038858294; pub.1022045702; pub.1011328337; pub.1014846068; pub.1022259601; pub.1040965474; pub.1078368712; pub.1003810837; pub.1009783081
pub.1104000512,10.1371/journal.pone.0196933,Modulation of functional activity and connectivity by acupuncture in patients with Alzheimer disease as measured by resting-state fMRI,PLoS ONE,2018,13,5,e0196933,"Zheng, Weimin; Su, Zhuangzhi; Liu, Xingyun; Zhang, Hao; Han, Ying; Song, Haiqing; Lu, Jie; Li, Kuncheng; Wang, Zhiqun",Beijing University of Chinese Medicine; Xuan Wu Hospital of the Capital Medical University,China; China,https://app.dimensions.ai/details/publication/pub.1104000512,0,pub.1042567361; pub.1063499164; pub.1040361562; pub.1005466013; pub.1010662222; pub.1037239986; pub.1011850909; pub.1063203038; pub.1025977945; pub.1003321082; pub.1046695436; pub.1030165522; pub.1032800719; pub.1049179327; pub.1013685187; pub.1052907745; pub.1035376783; pub.1030896890; pub.1079245944; pub.1007107336; pub.1013800182; pub.1023721835; pub.1052080552; pub.1048615784; pub.1002252637; pub.1009293861; pub.1039231189; pub.1029424796; pub.1010585444; pub.1004676898; pub.1008426439; pub.1005500047; pub.1009505638; pub.1030027938; pub.1009349998; pub.1044499508; pub.1005654080; pub.1034080614; pub.1025822163; pub.1002853209; pub.1018439942; pub.1051764757; pub.1005122187; pub.1004967241; pub.1071127465; pub.1064347312; pub.1053109894; pub.1043136211; pub.1004369016; pub.1053542628
pub.1068244624,10.1682/jrrd.2008.12.0161,Advances in neuroimaging of traumatic brain injury and posttraumatic stress disorder,The Journal of Rehabilitation Research and Development,2009,46,6,717,"Van Boven, Robert W; Harrington, Greg S; Hackney, David B; Ebel, Andreas; Gauger, Grant; Bremner, J Douglas; D'Esposito, Mark; Detre, John A; Haacke, E Mark; Jack, Clifford R; Jagust, William J; Le Bihan, Denis; Mathis, Chester A; Mueller, Susanne; Mukherjee, Pratik; Schuff, Norbert; Chen, Anthony; Weiner, Michael W",,,https://app.dimensions.ai/details/publication/pub.1068244624,68,pub.1021227090; pub.1042374294; pub.1074848036; pub.1033407026; pub.1010468172; pub.1013777103; pub.1051608117; pub.1023142836; pub.1025893639; pub.1007204896; pub.1049492262; pub.1004430818; pub.1044730951; pub.1007120279; pub.1040470377; pub.1077453895; pub.1051142290; pub.1012907367; pub.1011868402; pub.1021590053; pub.1015834189; pub.1005744930; pub.1082885172; pub.1021704779; pub.1037978270; pub.1024621043; pub.1034156120; pub.1036373953; pub.1031015515; pub.1032540400; pub.1042159417; pub.1043225915; pub.1079938901; pub.1036958541; pub.1047074976; pub.1064349201; pub.1064349499; pub.1063496271; pub.1018391852; pub.1063496554; pub.1064569993; pub.1064344870; pub.1018079525; pub.1042323096; pub.1052253728; pub.1051818428; pub.1059201315; pub.1033142066; pub.1078490873; pub.1051529195; pub.1064377463; pub.1025820397; pub.1041626085; pub.1035305491; pub.1021597342; pub.1039009435; pub.1012301098; pub.1018989761; pub.1039897238; pub.1083110229; pub.1032830783; pub.1016706666; pub.1015114089; pub.1035743098; pub.1003408354; pub.1059299800; pub.1069325806; pub.1064376882; pub.1022210457; pub.1015462273; pub.1059300164; pub.1059021311; pub.1059300533; pub.1028551224; pub.1063495315; pub.1003528865; pub.1077371943; pub.1041993922; pub.1012820705; pub.1074861409; pub.1031600280; pub.1035329952; pub.1007637201; pub.1076955596; pub.1034594506; pub.1077245316; pub.1020209476; pub.1076838471; pub.1019838114; pub.1041736332; pub.1064370422; pub.1077122471; pub.1063493294; pub.1076479165; pub.1040447743; pub.1016976627; pub.1077020469; pub.1033351374; pub.1005792175; pub.1063483952; pub.1077229671; pub.1015226532; pub.1051991954; pub.1008178520; pub.1035762406; pub.1034931430; pub.1026315492; pub.1040752206; pub.1059201540; pub.1026584677; pub.1059300298; pub.1006233452; pub.1047436296; pub.1003548815; pub.1076795945; pub.1012409141; pub.1011482289; pub.1034644962; pub.1005942389; pub.1027912509; pub.1025049547; pub.1051095372; pub.1029015028; pub.1064059140; pub.1011523626; pub.1014569658; pub.1033439565; pub.1027774750; pub.1046859943; pub.1003042928; pub.1041559279; pub.1006386719; pub.1027463673; pub.1061401553; pub.1059246807; pub.1011337386; pub.1039467365; pub.1038883812; pub.1045769935; pub.1064347026; pub.1009354572; pub.1010554637; pub.1050072567; pub.1052895252; pub.1053109894; pub.1077052080; pub.1039237306; pub.1026243052; pub.1077151737; pub.1015434046; pub.1037480156; pub.1082631243; pub.1007819089; pub.1051150380; pub.1001698451; pub.1051049554; pub.1053641341; pub.1005570847; pub.1029727505; pub.1025163589; pub.1076813724; pub.1031586762; pub.1063512420; pub.1031135079; pub.1036844207; pub.1012743476; pub.1013329742; pub.1076838472; pub.1059300086; pub.1005128064; pub.1022298219; pub.1043813692; pub.1006489808; pub.1030703276; pub.1047145892; pub.1011812116; pub.1077725137; pub.1021382193; pub.1007138512; pub.1059300496; pub.1051963142; pub.1074546821; pub.1035389463; pub.1000585050; pub.1051736706; pub.1015831661; pub.1019787354; pub.1039217119; pub.1028671127; pub.1033700798; pub.1076592898; pub.1046297582; pub.1037303379; pub.1059300295; pub.1077417079; pub.1035994422; pub.1036784227; pub.1001262365; pub.1028241702; pub.1019575904; pub.1071101694; pub.1001669539; pub.1063494036; pub.1040098987; pub.1059300742; pub.1025423624; pub.1021381267; pub.1053967989; pub.1052993415; pub.1024186817; pub.1048669584; pub.1034764630; pub.1059300750; pub.1021322952; pub.1013121506; pub.1017246094; pub.1050391856; pub.1019860370; pub.1024412861; pub.1083294186; pub.1012933292; pub.1075050945; pub.1036298389; pub.1026274353; pub.1064350070; pub.1029758418; pub.1043570120; pub.1042050275; pub.1064364498; pub.1019305920; pub.1054048588; pub.1063484250; pub.1027434731; pub.1003790045; pub.1045647343; pub.1052765293; pub.1034076572; pub.1074750572; pub.1011869506; pub.1019140837; pub.1054042488; pub.1021187848; pub.1022172795; pub.1010327339; pub.1028959995; pub.1064150157; pub.1014588636; pub.1016702944; pub.1071097052; pub.1013458985; pub.1004916055; pub.1074728562; pub.1064347027; pub.1001071801; pub.1074530879; pub.1030497827; pub.1053871691; pub.1083284966; pub.1036370018; pub.1000911072; pub.1003432657; pub.1018373391; pub.1002084915; pub.1059300611; pub.1077495165; pub.1017761252; pub.1031270142; pub.1077221641; pub.1071098772; pub.1083369919; pub.1045348217; pub.1035041364; pub.1010846043; pub.1068244678; pub.1019367853; pub.1043222944; pub.1063495016; pub.1027082084; pub.1074848020; pub.1039795207; pub.1017815338; pub.1019532549; pub.1002721715; pub.1022107726; pub.1045609721; pub.1006570930; pub.1076837266; pub.1024207084; pub.1020497196; pub.1059300762; pub.1037329624; pub.1002880122; pub.1083037764; pub.1023911344; pub.1031429681; pub.1074751039; pub.1015933864; pub.1031884538; pub.1069221349; pub.1038205582; pub.1059300269; pub.1006827358; pub.1074357395; pub.1048357851; pub.1014672244; pub.1046875368; pub.1064374253; pub.1063495690; pub.1008551383; pub.1064350040; pub.1019841684; pub.1038368150; pub.1035552078; pub.1001455394; pub.1064377845; pub.1059300156; pub.1039245880; pub.1012759656; pub.1052990900; pub.1047890136; pub.1026159034; pub.1063854617; pub.1053353114; pub.1051430014; pub.1008549136; pub.1052032961; pub.1015139958; pub.1007129221; pub.1014618804; pub.1063493577; pub.1074999052; pub.1023420806; pub.1059201414
pub.1105111382,10.1371/journal.pone.0199440,Effect of task difficulty on blood-oxygen-level-dependent signal: A functional magnetic resonance imaging study in a motion discrimination task,PLoS ONE,2018,13,6,e0199440,"Na, Ren; Bi, Taiyong; Tjan, Bosco S.; Liu, Zili; Fang, Fang",Ministry of Education of the People's Republic of China; Peking-Tsinghua Center for Life Sciences; Zunyi Medical University; University of Southern California; University of California Los Angeles; Peking University,China; China; China; United States; United States; China,https://app.dimensions.ai/details/publication/pub.1105111382,1,pub.1083856895; pub.1032943315; pub.1042757383; pub.1037842949; pub.1004268163; pub.1082457393; pub.1006372293; pub.1052064614; pub.1053449958; pub.1044421751; pub.1050184535; pub.1013411966; pub.1007412861; pub.1028095699; pub.1020057566; pub.1007883268; pub.1026047045; pub.1051390741; pub.1074737953; pub.1062609129; pub.1044582070; pub.1037092914; pub.1035596985; pub.1037479201; pub.1015859642; pub.1050449687; pub.1000080685; pub.1038101778; pub.1024944546; pub.1016105748; pub.1054675405; pub.1045665399; pub.1021909211; pub.1039058571; pub.1044013527; pub.1039761824; pub.1029433351; pub.1024436731; pub.1041755845
pub.1047630318,10.1371/journal.pone.0152614,Combined DTI Tractography and Functional MRI Study of the Language Connectome in Healthy Volunteers: Extensive Mapping of White Matter Fascicles and Cortical Activations,PLoS ONE,2016,11,3,e0152614,"Vassal, François; Schneider, Fabien; Boutet, Claire; Jean, Betty; Sontheimer, Anna; Lemaire, Jean-Jacques",Centre Hospitalier Universitaire de Saint-Étienne; Centre Hospitalier Universitaire de Clermont-Ferrand,France; France,https://app.dimensions.ai/details/publication/pub.1047630318,14,pub.1064378594; pub.1042124453; pub.1051859493; pub.1043393335; pub.1015328907; pub.1018719302; pub.1059439549; pub.1071095487; pub.1050473432; pub.1077689312; pub.1016228189; pub.1041770629; pub.1015770859; pub.1010846043; pub.1034508191; pub.1035676644; pub.1062494886; pub.1020121554; pub.1030563933; pub.1021469020; pub.1015485562; pub.1045616486; pub.1012402817; pub.1043482172; pub.1048322856; pub.1037165592; pub.1029528225; pub.1046977077; pub.1045756272; pub.1026804920; pub.1074859765; pub.1011479540; pub.1001480216; pub.1062501750; pub.1028760513; pub.1042690736; pub.1018900757; pub.1026390863; pub.1022259601; pub.1038007793; pub.1021974779; pub.1041319726; pub.1083056956; pub.1043749352; pub.1050514445; pub.1018917955; pub.1049823585; pub.1047257326; pub.1004764750; pub.1098746307
pub.1046263350,10.1371/journal.pone.0085168,Complex Visual Search in Children and Adolescents: Effects of Age and Performance on fMRI Activation,PLoS ONE,2013,8,12,e85168,"Lidzba, Karen; Ebner, Kathina; Hauser, Till-Karsten; Wilke, Marko",Universitätsklinikum Tübingen; University of Tübingen,Germany; Germany,https://app.dimensions.ai/details/publication/pub.1046263350,1,pub.1021005460; pub.1052325418; pub.1013250620; pub.1038005370; pub.1030579043; pub.1016774282; pub.1041165949; pub.1081930565; pub.1037967697; pub.1051727333; pub.1026814953; pub.1049912163; pub.1050193754; pub.1013214091; pub.1039441751; pub.1024193625; pub.1000525832; pub.1000672357; pub.1013733581; pub.1031375717; pub.1036583563; pub.1045714542; pub.1014093282; pub.1028542015; pub.1032747056; pub.1082807787; pub.1018406232; pub.1051214344; pub.1019640130; pub.1028354406; pub.1051946022; pub.1041153864; pub.1001676299; pub.1011425397; pub.1048621850; pub.1032634339; pub.1013282085; pub.1000908089; pub.1053496180; pub.1052759286; pub.1042609034; pub.1011603753; pub.1039065580; pub.1031239517; pub.1019756641; pub.1053207066; pub.1052587648; pub.1007999249; pub.1019192174; pub.1033955983; pub.1018564448; pub.1020541722; pub.1012773571; pub.1032410899; pub.1053535844; pub.1017590491; pub.1007780347; pub.1019315377; pub.1005375040; pub.1033506705; pub.1022259601; pub.1040367320; pub.1009171986; pub.1032321272; pub.1015718673; pub.1002071444; pub.1049823585; pub.1005032006
pub.1106945091,10.1371/journal.pone.0203753,Does emotion regulation engage the same neural circuit as working memory? A meta-analytical comparison between cognitive reappraisal of negative emotion and 2-back working memory task,PLoS ONE,2018,13,9,e0203753,"Lee, Tien-Wen; Xue, Shao-Wei",Hangzhou Normal University,China,https://app.dimensions.ai/details/publication/pub.1106945091,0,pub.1108412048; pub.1053044889; pub.1053723089; pub.1038227042; pub.1015276927; pub.1035160943; pub.1042097231; pub.1017424334; pub.1019479775; pub.1001500110; pub.1001097031; pub.1035149875; pub.1039914291; pub.1032559642; pub.1003591544; pub.1062654640; pub.1008650242; pub.1010473521; pub.1029066428; pub.1036239166; pub.1051105725; pub.1043912825; pub.1006625886; pub.1033872518; pub.1037549029; pub.1033957611; pub.1018539161; pub.1024457482; pub.1063513713; pub.1042860151; pub.1049133570; pub.1004685425; pub.1014314850; pub.1049521120; pub.1001215960; pub.1048518447; pub.1021539557; pub.1024252988; pub.1019538769; pub.1035476902; pub.1034879911; pub.1008900562; pub.1027588347; pub.1010358262; pub.1045014949; pub.1002386379; pub.1000962701; pub.1025044907; pub.1027747060; pub.1018458693; pub.1018271576; pub.1006761414; pub.1016762056; pub.1005679613; pub.1033367849; pub.1029822588; pub.1036044416; pub.1052040862; pub.1022247537; pub.1031157833; pub.1003449769; pub.1004709657; pub.1021561487; pub.1016995939; pub.1040974584; pub.1026825162; pub.1009489144; pub.1016657475; pub.1049712601; pub.1018357352; pub.1048690845; pub.1046572470; pub.1005411816; pub.1006100548; pub.1049139554; pub.1002123817; pub.1002641213; pub.1006819554; pub.1050369714; pub.1037105929; pub.1001009104; pub.1009567322; pub.1016578472; pub.1039106339; pub.1034127981; pub.1045826187; pub.1029721353; pub.1028770457; pub.1049350770; pub.1006613253; pub.1047080549; pub.1024302904; pub.1016013935; pub.1036488370; pub.1023987458; pub.1051889598; pub.1034724186; pub.1041353006; pub.1052816172; pub.1027870498; pub.1048019017; pub.1020994629; pub.1016038989; pub.1043095051
