"About the data: Exported on Dec 21, 2018. Criteria: Text - '20150342 OR 20150343 OR 20152906 OR 20152908 OR 20153142 OR 20153145 OR 20153150 OR 20153608 OR 20153764 OR 20154013 OR 20156568 OR 20156571 OR 20156575 OR 20156657 OR 20156841 OR 20157009 OR 20157373...' in full data. For more information, please see https://app.dimensions.ai/datasources.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors Affiliations,Research Organizations - standardized,GRID IDs,Country of Research organization,Funder,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
0,pub.1099649636,10.1371/journal.pone.0189113,29228027,5724830,An insulin resistance associated neural correlate of impulsivity in type 2 diabetes mellitus,PLoS ONE,,"Adult; Corpus Striatum; Diabetes Mellitus, Type 2; Female; Humans; Impulsive Behavior; Insulin Resistance; Magnetic Resonance Imaging; Male; Middle Aged",2017,12,12,e0189113,All OA; Gold,article,"Eckstrand, Kristen L.; Mummareddy, Nishit; Kang, Hakmook; Cowan, Ronald; Zhou, Minchun; Zald, David; Silver, Heidi J.; Niswender, Kevin D.; Avison, Malcolm J.","Eckstrand, Kristen L. (Vanderbilt University Medical Center); Mummareddy, Nishit (Vanderbilt University Medical Center); Kang, Hakmook (Vanderbilt University Medical Center); Cowan, Ronald (Vanderbilt University Medical Center); Zhou, Minchun (Vanderbilt University Medical Center); Zald, David (Vanderbilt University Medical Center); Silver, Heidi J. (Vanderbilt University Medical Center); Niswender, Kevin D. (Vanderbilt University Medical Center); Avison, Malcolm J. (Vanderbilt University Medical Center)",Vanderbilt University Medical Center,grid.412807.8,United States,National Center for Advancing Translational Sciences; National Institute of Diabetes and Digestive and Kidney Diseases; National Institute of General Medical Sciences; Novo Nordisk (Denmark),0,0,0,0,1,http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0189113&type=printable,https://app.dimensions.ai/details/publication/pub.1099649636,1109 Neurosciences,1109 Neurosciences,,,,
0,pub.1008788410,10.1371/journal.pone.0164450,27764116,5072594,My Body Looks Like That Girl’s: Body Mass Index Modulates Brain Activity during Body Image Self-Reflection among Young Women,PLoS ONE,,"Body Image; Body Mass Index; Brain; Brain Mapping; Female; Humans; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Overweight; Personal Satisfaction; Self Concept; Young Adult",2016,11,10,e0164450,All OA; Gold,article,"Gao, Xiao; Deng, Xiao; Wen, Xin; She, Ying; Vinke, Petra Corianne; Chen, Hong","Gao, Xiao (Southwest University); Deng, Xiao (Stomatological Hospital of Chongqing Medical University); Wen, Xin (Southwest University); She, Ying (Southwest University); Vinke, Petra Corianne (University of Groningen); Chen, Hong (Southwest University)",Stomatological Hospital of Chongqing Medical University; University of Groningen; Southwest University,grid.459985.c; grid.4830.f; grid.263906.8,China; Netherlands; China,National Natural Science Foundation of China,3,3,0.34,1.0,5,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0164450&type=printable,https://app.dimensions.ai/details/publication/pub.1008788410,1109 Neurosciences; 1701 Psychology,1109 Neurosciences,1701 Psychology,,,
0,pub.1102154782,10.2307/20553738,,,Feic: Cosc ar fhilí,Comhar,,,1975,34,9,17,Closed,article,Neilius,Neilius (),,,,,0,0,0,0,,,https://app.dimensions.ai/details/publication/pub.1102154782,,,,,,
0,pub.1103069184,10.2307/20623690,,,Prophecy,Books Ireland,,,1998,,215,228,Closed,article,"Johnston, Fred","Johnston, Fred ()",,,,,0,0,0,0,,,https://app.dimensions.ai/details/publication/pub.1103069184,,,,,,
0,pub.1102155464,10.2307/20554884,,,[Ná póg mé mar],Comhar,,,1982,41,3,23,Closed,article,"Fánach, Fánaí","Fánach, Fánaí ()",,,,,0,0,0,0,,,https://app.dimensions.ai/details/publication/pub.1102155464,,,,,,
0,pub.1103069842,10.2307/20624599,,,Goodbye NBA?,Books Ireland,,,1978,,29,196,Closed,article,"Gill, Michael","Gill, Michael ()",,,,,0,0,0,0,,,https://app.dimensions.ai/details/publication/pub.1103069842,,,,,,
0,pub.1041396617,10.1016/j.nicl.2014.05.007,24936432,4055902,Developmental differences in higher-order resting-state networks in Autism Spectrum Disorder,NeuroImage Clinical,,"Adolescent; Brain; Brain Mapping; Child; Child Development Disorders, Pervasive; Cognition Disorders; Developmental Disabilities; Humans; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Male; Nerve Net; Neural Pathways; Oxygen; Principal Component Analysis; Rest",2014,4,,820-827,All OA; Gold,article,"Bos, Dienke J.; van Raalten, Tamar R.; Oranje, Bob; Smits, Anouk R.; Kobussen, Nieke A.; van Belle, Janna; Rombouts, Serge A.R.B.; Durston, Sarah","Bos, Dienke J. (University Medical Center Utrecht); van Raalten, Tamar R. (University Medical Center Utrecht); Oranje, Bob (University Medical Center Utrecht); Smits, Anouk R. (University Medical Center Utrecht); Kobussen, Nieke A. (University Medical Center Utrecht); van Belle, Janna (University Medical Center Utrecht); Rombouts, Serge A.R.B. (Leiden University; Leiden University Medical Center); Durston, Sarah (University Medical Center Utrecht)",Leiden University; Leiden University Medical Center; University Medical Center Utrecht,grid.5132.5; grid.10419.3d; grid.7692.a,Netherlands; Netherlands; Netherlands,Netherlands Organisation for Scientific Research; Dutch Brain Foundation,23,15,1.33,5.19,1,https://doi.org/10.1016/j.nicl.2014.05.007,https://app.dimensions.ai/details/publication/pub.1041396617,1701 Psychology,1701 Psychology,,,,
0,pub.1010662752,10.1371/journal.pone.0150334,26990646,4798403,Calcitonin Gene-Related Peptide Modulates Heat Nociception in the Human Brain - An fMRI Study in Healthy Volunteers,PLoS ONE,,Adult; Brain; Calcitonin Gene-Related Peptide; Female; Healthy Volunteers; Hot Temperature; Humans; Magnetic Resonance Imaging; Male; Nociception; Placebos; Young Adult,2016,11,3,e0150334,All OA; Gold,article,"Asghar, Mohammad Sohail; Becerra, Lino; Larsson, Henrik B. W.; Borsook, David; Ashina, Messoud","Asghar, Mohammad Sohail (Rigshospitalet); Becerra, Lino (Harvard University); Larsson, Henrik B. W. (Rigshospitalet); Borsook, David (Harvard University); Ashina, Messoud (Rigshospitalet)",Harvard University; Rigshospitalet,grid.38142.3c; grid.475435.4,United States; Denmark,Danish Agency for Science and Higher Education; Capital Region of Denmark; National Institute of Neurological Disorders and Stroke; Merck (Germany); Novo Nordisk (Denmark),15,14,2.38,4.04,4,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0150334&type=printable,https://app.dimensions.ai/details/publication/pub.1010662752,1109 Neurosciences,1109 Neurosciences,,,,
0,pub.1102966325,10.2307/20521860,,,Etnologické Materiálie Z Jihozápadu U.S.A.,Béaloideas,,,1934,4,4,465,Closed,article,"Pospísil, Frantisek","Pospísil, Frantisek ()",,,,,0,0,0,0,,,https://app.dimensions.ai/details/publication/pub.1102966325,,,,,,
0,pub.1102687488,10.2307/20797441,,,APORTACIONES EN TORNO A LA MÚSICA RELIGIOSA DE FELIPE GORRITI: LAS MISAS DE REQUIEM,Revista de Musicología,,,1997,20,1,589,Closed,article,Moreno,Moreno (),,,,,0,0,0,0,,,https://app.dimensions.ai/details/publication/pub.1102687488,,,,,,
