STRUCTURE,CLUSTER,DOMAIN,TITLE
left_temporal_pole,1,EMOTION,Emotion
right_temporal_pole,1,EMOTION,Emotion
left_postcentral_gyrus,2,EXECUTION,Execution
left_superior_parietal_lobule,2,EXECUTION,Execution
left_supplementary_motor_cortex,2,EXECUTION,Execution
left_supramarginal_gyrus_anterior_division,2,EXECUTION,Execution
right_postcentral_gyrus,2,EXECUTION,Execution
right_supramarginal_gyrus_anterior_division,2,EXECUTION,Execution
left_angular_gyrus,3,VISION,Vision
left_lateral_occipital_cortex_superior_division,3,VISION,Vision
left_precentral_gyrus,3,VISION,Vision
left_supramarginal_gyrus_posterior_division,3,VISION,Vision
right_angular_gyrus,3,VISION,Vision
right_lateral_occipital_cortex_superior_division,3,VISION,Vision
right_middle_temporal_gyrus_temporooccipital_part,3,VISION,Vision
right_precentral_gyrus,3,VISION,Vision
right_superior_parietal_lobule,3,VISION,Vision
right_supramarginal_gyrus_posterior_division,3,VISION,Vision
left_cingulate_gyrus_anterior_division,4,REACTION_TIME,Reaction Time
left_paracingulate_gyrus,4,REACTION_TIME,Reaction Time
left_thalamus,4,REACTION_TIME,Reaction Time
right_cingulate_gyrus_anterior_division,4,REACTION_TIME,Reaction Time
right_thalamus,4,REACTION_TIME,Reaction Time
right_cingulate_gyrus_posterior_division,5,MEMORY,Memory
right_cuneal_cortex,5,MEMORY,Memory
right_intracalcarine_cortex,5,MEMORY,Memory
right_precuneous_cortex,5,MEMORY,Memory
right_supracalcarine_cortex,5,MEMORY,Memory
left_planum_polare,6,PERCEPTION,Perception
right_central_opercular_cortex,6,PERCEPTION,Perception
right_heschls_gyrus,6,PERCEPTION,Perception
right_planum_polare,6,PERCEPTION,Perception
left_amygdala,7,VALENCE,Valence
left_hippocampus,7,VALENCE,Valence
left_parahippocampal_gyrus_anterior_division,7,VALENCE,Valence
right_amygdala,7,VALENCE,Valence
right_hippocampus,7,VALENCE,Valence
right_parahippocampal_gyrus_anterior_division,7,VALENCE,Valence
right_parahippocampal_gyrus_posterior_division,7,VALENCE,Valence
left_inferior_temporal_gyrus_temporooccipital_part,8,FAMILIARITY,Familiarity
left_lateral_occipital_cortex_inferior_division,8,FAMILIARITY,Familiarity
left_lingual_gyrus,8,FAMILIARITY,Familiarity
left_middle_temporal_gyrus_temporooccipital_part,8,FAMILIARITY,Familiarity
left_occipital_fusiform_gyrus,8,FAMILIARITY,Familiarity
left_occipital_pole,8,FAMILIARITY,Familiarity
left_temporal_occipital_fusiform_cortex,8,FAMILIARITY,Familiarity
right_inferior_temporal_gyrus_temporooccipital_part,8,FAMILIARITY,Familiarity
right_lateral_occipital_cortex_inferior_division,8,FAMILIARITY,Familiarity
right_lingual_gyrus,8,FAMILIARITY,Familiarity
right_occipital_fusiform_gyrus,8,FAMILIARITY,Familiarity
