CLUSTER,STRUCTURE
1,right_frontal_pole
1,right_middle_frontal_gyrus
1,right_superior_frontal_gyrus
2,left_cingulate_gyrus_posterior_division
2,right_cingulate_gyrus_posterior_division
2,right_cuneal_cortex
2,right_precuneous_cortex
2,right_supracalcarine_cortex
3,left_inferior_frontal_gyrus_pars_opercularis
3,left_middle_frontal_gyrus
3,left_precentral_gyrus
3,left_superior_frontal_gyrus
3,right_precentral_gyrus
4,left_frontal_medial_cortex
5,left_hippocampus
5,left_parahippocampal_gyrus_anterior_division
5,right_hippocampus
6,left_middle_temporal_gyrus_anterior_division
6,left_superior_temporal_gyrus_anterior_division
7,left_caudate
8,right_middle_temporal_gyrus_posterior_division
8,right_superior_temporal_gyrus_posterior_division
9,left_cingulate_gyrus_anterior_division
9,left_paracingulate_gyrus
10,left_central_opercular_cortex
10,left_parietal_operculum_cortex
10,left_planum_temporale
11,left_inferior_temporal_gyrus_temporooccipital_part
11,left_middle_temporal_gyrus_temporooccipital_part
11,left_temporal_occipital_fusiform_cortex
12,left_lateral_occipital_cortex_inferior_division
12,left_occipital_fusiform_gyrus
12,left_occipital_pole
12,right_lateral_occipital_cortex_inferior_division
12,right_occipital_fusiform_gyrus
13,right_inferior_temporal_gyrus_posterior_division
13,right_temporal_fusiform_cortex_posterior_division
14,right_pallidum
14,right_putamen
15,left_frontal_orbital_cortex
15,left_insular_cortex
15,right_insular_cortex
16,left_inferior_temporal_gyrus_anterior_division
17,left_cuneal_cortex
17,left_intracalcarine_cortex
17,left_supracalcarine_cortex
18,right_middle_temporal_gyrus_anterior_division
18,right_superior_temporal_gyrus_anterior_division
19,right_temporal_fusiform_cortex_anterior_division
20,right_heschls_gyrus
20,right_planum_polare
21,right_brainstem
22,right_accumbens
23,left_amygdala
24,right_angular_gyrus
24,right_middle_temporal_gyrus_temporooccipital_part
24,right_superior_parietal_lobule
24,right_supramarginal_gyrus_posterior_division
25,right_central_opercular_cortex
25,right_parietal_operculum_cortex
25,right_planum_temporale
26,left_temporal_pole
27,left_middle_temporal_gyrus_posterior_division
27,left_superior_temporal_gyrus_posterior_division
28,left_brainstem
29,left_cerebellum
29,right_cerebellum
30,right_amygdala
31,right_frontal_medial_cortex
32,right_subcallosal_cortex
33,left_thalamus
33,right_thalamus
34,left_angular_gyrus
34,left_lateral_occipital_cortex_superior_division
34,left_precuneous_cortex
34,left_superior_parietal_lobule
34,left_supramarginal_gyrus_posterior_division
34,right_lateral_occipital_cortex_superior_division
35,left_accumbens
36,left_lingual_gyrus
36,right_intracalcarine_cortex
36,right_lingual_gyrus
36,right_occipital_pole
37,right_caudate
38,right_inferior_temporal_gyrus_anterior_division
39,right_inferior_temporal_gyrus_temporooccipital_part
39,right_temporal_occipital_fusiform_cortex
40,right_cingulate_gyrus_anterior_division
40,right_paracingulate_gyrus
41,left_subcallosal_cortex
42,left_inferior_temporal_gyrus_posterior_division
42,left_temporal_fusiform_cortex_posterior_division
43,left_heschls_gyrus
43,left_planum_polare
44,left_pallidum
45,left_postcentral_gyrus
45,left_supramarginal_gyrus_anterior_division
45,right_postcentral_gyrus
45,right_supramarginal_gyrus_anterior_division
46,left_supplementary_motor_cortex
47,left_frontal_operculum_cortex
47,left_frontal_pole
47,left_inferior_frontal_gyrus_pars_triangularis
48,left_parahippocampal_gyrus_posterior_division
49,right_temporal_pole
50,right_parahippocampal_gyrus_posterior_division
51,right_frontal_operculum_cortex
51,right_frontal_orbital_cortex
51,right_inferior_frontal_gyrus_pars_opercularis
51,right_inferior_frontal_gyrus_pars_triangularis
52,right_supplementary_motor_cortex
53,left_putamen
54,left_temporal_fusiform_cortex_anterior_division
55,right_parahippocampal_gyrus_anterior_division
