CLUSTER,STRUCTURE
1,right_brainstem
2,left_inferior_frontal_gyrus_pars_opercularis
2,left_inferior_frontal_gyrus_pars_triangularis
2,left_middle_frontal_gyrus
2,left_precentral_gyrus
2,left_superior_frontal_gyrus
2,left_supplementary_motor_cortex
3,right_middle_temporal_gyrus_posterior_division
3,right_superior_temporal_gyrus_posterior_division
4,left_insular_cortex
4,right_frontal_operculum_cortex
4,right_frontal_orbital_cortex
4,right_insular_cortex
5,left_inferior_temporal_gyrus_posterior_division
5,left_temporal_fusiform_cortex_posterior_division
6,right_frontal_medial_cortex
7,right_intracalcarine_cortex
7,right_lingual_gyrus
7,right_supracalcarine_cortex
8,left_lingual_gyrus
9,left_hippocampus
9,left_parahippocampal_gyrus_posterior_division
10,right_pallidum
11,left_inferior_temporal_gyrus_anterior_division
12,right_accumbens
13,right_hippocampus
13,right_parahippocampal_gyrus_anterior_division
14,left_subcallosal_cortex
15,right_inferior_temporal_gyrus_anterior_division
16,left_postcentral_gyrus
16,right_postcentral_gyrus
16,right_precentral_gyrus
16,right_supramarginal_gyrus_anterior_division
17,left_frontal_orbital_cortex
17,left_frontal_pole
18,left_lateral_occipital_cortex_inferior_division
18,left_occipital_fusiform_gyrus
18,left_temporal_occipital_fusiform_cortex
18,right_lateral_occipital_cortex_inferior_division
18,right_occipital_fusiform_gyrus
19,left_angular_gyrus
19,left_supramarginal_gyrus_anterior_division
19,left_supramarginal_gyrus_posterior_division
19,right_supramarginal_gyrus_posterior_division
20,left_caudate
21,left_thalamus
21,right_thalamus
22,left_middle_temporal_gyrus_anterior_division
22,left_superior_temporal_gyrus_anterior_division
23,right_central_opercular_cortex
23,right_parietal_operculum_cortex
23,right_planum_temporale
24,right_subcallosal_cortex
25,left_cingulate_gyrus_anterior_division
25,left_paracingulate_gyrus
26,right_cingulate_gyrus_posterior_division
27,right_parahippocampal_gyrus_posterior_division
27,right_temporal_fusiform_cortex_posterior_division
28,right_cingulate_gyrus_anterior_division
28,right_paracingulate_gyrus
29,left_temporal_pole
29,right_temporal_pole
30,right_frontal_pole
30,right_middle_frontal_gyrus
30,right_superior_frontal_gyrus
30,right_supplementary_motor_cortex
31,left_pallidum
31,left_putamen
31,right_putamen
32,right_caudate
33,left_accumbens
34,left_heschls_gyrus
34,left_planum_polare
35,left_lateral_occipital_cortex_superior_division
35,left_superior_parietal_lobule
35,right_angular_gyrus
35,right_lateral_occipital_cortex_superior_division
35,right_precuneous_cortex
35,right_superior_parietal_lobule
36,left_middle_temporal_gyrus_posterior_division
36,left_superior_temporal_gyrus_posterior_division
37,left_temporal_fusiform_cortex_anterior_division
38,left_central_opercular_cortex
38,left_parietal_operculum_cortex
38,left_planum_temporale
39,left_frontal_medial_cortex
40,left_brainstem
41,right_inferior_temporal_gyrus_temporooccipital_part
41,right_middle_temporal_gyrus_temporooccipital_part
41,right_temporal_occipital_fusiform_cortex
42,left_inferior_temporal_gyrus_temporooccipital_part
42,left_middle_temporal_gyrus_temporooccipital_part
43,right_heschls_gyrus
43,right_planum_polare
44,right_inferior_temporal_gyrus_posterior_division
45,left_cuneal_cortex
45,left_intracalcarine_cortex
45,left_supracalcarine_cortex
46,left_amygdala
47,right_middle_temporal_gyrus_anterior_division
47,right_superior_temporal_gyrus_anterior_division
48,right_cuneal_cortex
49,left_occipital_pole
49,right_occipital_pole
50,right_temporal_fusiform_cortex_anterior_division
51,right_inferior_frontal_gyrus_pars_opercularis
51,right_inferior_frontal_gyrus_pars_triangularis
52,left_parahippocampal_gyrus_anterior_division
53,left_cerebellum
53,right_cerebellum
54,left_frontal_operculum_cortex
55,right_amygdala
56,left_cingulate_gyrus_posterior_division
56,left_precuneous_cortex
