DOMAIN,CLUSTER,STRUCTURE,TITLE
HEARING,1,left_central_opercular_cortex,Hearing
HEARING,1,left_heschls_gyrus,Hearing
HEARING,1,left_parietal_operculum_cortex,Hearing
HEARING,1,left_planum_temporale,Hearing
HEARING,1,right_central_opercular_cortex,Hearing
HEARING,1,right_heschls_gyrus,Hearing
HEARING,1,right_parietal_operculum_cortex,Hearing
HEARING,1,right_planum_polare,Hearing
HEARING,1,right_planum_temporale,Hearing
REACTION_TIME,2,left_cingulate_gyrus_anterior_division,Reaction Time
REACTION_TIME,2,left_frontal_medial_cortex,Reaction Time
REACTION_TIME,2,left_insular_cortex,Reaction Time
REACTION_TIME,2,left_paracingulate_gyrus,Reaction Time
REACTION_TIME,2,left_thalamus,Reaction Time
REACTION_TIME,2,right_brainstem,Reaction Time
REACTION_TIME,2,right_cingulate_gyrus_anterior_division,Reaction Time
REACTION_TIME,2,right_cingulate_gyrus_posterior_division,Reaction Time
REACTION_TIME,2,right_frontal_medial_cortex,Reaction Time
REACTION_TIME,2,right_frontal_operculum_cortex,Reaction Time
REACTION_TIME,2,right_frontal_orbital_cortex,Reaction Time
REACTION_TIME,2,right_frontal_pole,Reaction Time
REACTION_TIME,2,right_insular_cortex,Reaction Time
REACTION_TIME,2,right_paracingulate_gyrus,Reaction Time
REACTION_TIME,2,right_superior_frontal_gyrus,Reaction Time
REACTION_TIME,2,right_temporal_pole,Reaction Time
REACTION_TIME,2,right_thalamus,Reaction Time
MEMORY,3,left_inferior_temporal_gyrus_anterior_division,Memory
MEMORY,3,left_inferior_temporal_gyrus_posterior_division,Memory
MEMORY,3,left_parahippocampal_gyrus_posterior_division,Memory
MEMORY,3,left_temporal_fusiform_cortex_anterior_division,Memory
MEMORY,3,right_inferior_temporal_gyrus_anterior_division,Memory
MEMORY,3,right_inferior_temporal_gyrus_posterior_division,Memory
MEMORY,3,right_parahippocampal_gyrus_posterior_division,Memory
MEMORY,3,right_temporal_fusiform_cortex_anterior_division,Memory
MEMORY,3,right_temporal_fusiform_cortex_posterior_division,Memory
EPISODIC_MEMORY,4,left_cingulate_gyrus_posterior_division,Episodic Memory
EPISODIC_MEMORY,4,left_cuneal_cortex,Episodic Memory
EPISODIC_MEMORY,4,left_intracalcarine_cortex,Episodic Memory
EPISODIC_MEMORY,4,left_lingual_gyrus,Episodic Memory
EPISODIC_MEMORY,4,left_precuneous_cortex,Episodic Memory
EPISODIC_MEMORY,4,left_supracalcarine_cortex,Episodic Memory
EPISODIC_MEMORY,4,right_cuneal_cortex,Episodic Memory
EPISODIC_MEMORY,4,right_intracalcarine_cortex,Episodic Memory
EPISODIC_MEMORY,4,right_lingual_gyrus,Episodic Memory
EPISODIC_MEMORY,4,right_precuneous_cortex,Episodic Memory
EPISODIC_MEMORY,4,right_supracalcarine_cortex,Episodic Memory
LANGUAGE,5,left_middle_temporal_gyrus_anterior_division,Language
LANGUAGE,5,left_middle_temporal_gyrus_posterior_division,Language
LANGUAGE,5,left_planum_polare,Language
LANGUAGE,5,left_superior_temporal_gyrus_anterior_division,Language
LANGUAGE,5,left_superior_temporal_gyrus_posterior_division,Language
LANGUAGE,5,left_temporal_pole,Language
LANGUAGE,5,right_middle_temporal_gyrus_anterior_division,Language
LANGUAGE,5,right_middle_temporal_gyrus_posterior_division,Language
LANGUAGE,5,right_superior_temporal_gyrus_anterior_division,Language
LANGUAGE,5,right_superior_temporal_gyrus_posterior_division,Language
