STRUCTURE,CLUSTER
left_middle_temporal_gyrus_posterior_division,1
left_superior_temporal_gyrus_posterior_division,1
left_cingulate_gyrus_anterior_division,2
left_paracingulate_gyrus,2
right_cingulate_gyrus_posterior_division,3
right_cuneal_cortex,3
right_intracalcarine_cortex,3
right_precuneous_cortex,3
right_supracalcarine_cortex,3
left_lateral_occipital_cortex_inferior_division,4
left_occipital_fusiform_gyrus,4
left_occipital_pole,4
right_inferior_temporal_gyrus_temporooccipital_part,4
right_lateral_occipital_cortex_inferior_division,4
right_middle_temporal_gyrus_temporooccipital_part,4
right_occipital_fusiform_gyrus,4
right_occipital_pole,4
right_temporal_occipital_fusiform_cortex,4
right_amygdala,5
right_hippocampus,5
right_parahippocampal_gyrus_anterior_division,5
left_inferior_frontal_gyrus_pars_opercularis,6
left_middle_frontal_gyrus,6
left_precentral_gyrus,6
left_superior_frontal_gyrus,6
left_supplementary_motor_cortex,6
right_inferior_frontal_gyrus_pars_opercularis,6
right_middle_frontal_gyrus,6
left_central_opercular_cortex,7
right_central_opercular_cortex,7
left_postcentral_gyrus,8
left_supramarginal_gyrus_anterior_division,8
right_postcentral_gyrus,8
right_precentral_gyrus,8
right_supplementary_motor_cortex,8
right_supramarginal_gyrus_anterior_division,8
left_caudate,9
right_caudate,9
right_inferior_temporal_gyrus_posterior_division,10
left_accumbens,11
left_intracalcarine_cortex,12
left_lingual_gyrus,12
right_lingual_gyrus,12
left_brainstem,13
right_brainstem,13
left_heschls_gyrus,14
left_parietal_operculum_cortex,14
left_planum_polare,14
left_planum_temporale,14
left_pallidum,15
left_putamen,15
right_pallidum,15
right_putamen,15
left_inferior_temporal_gyrus_posterior_division,16
left_temporal_fusiform_cortex_posterior_division,16
left_temporal_pole,17
right_temporal_pole,17
right_inferior_temporal_gyrus_anterior_division,18
right_temporal_fusiform_cortex_anterior_division,18
left_frontal_medial_cortex,19
left_subcallosal_cortex,19
right_frontal_medial_cortex,19
right_middle_temporal_gyrus_posterior_division,20
right_superior_temporal_gyrus_posterior_division,20
right_accumbens,21
left_inferior_temporal_gyrus_anterior_division,22
left_temporal_fusiform_cortex_anterior_division,22
left_hippocampus,23
left_parahippocampal_gyrus_anterior_division,23
left_parahippocampal_gyrus_posterior_division,23
left_inferior_temporal_gyrus_temporooccipital_part,24
left_middle_temporal_gyrus_temporooccipital_part,24
left_temporal_occipital_fusiform_cortex,24
right_subcallosal_cortex,25
left_cingulate_gyrus_posterior_division,26
left_precuneous_cortex,26
right_heschls_gyrus,27
right_planum_polare,27
left_insular_cortex,28
right_frontal_operculum_cortex,28
right_frontal_orbital_cortex,28
right_inferior_frontal_gyrus_pars_triangularis,28
right_insular_cortex,28
right_cingulate_gyrus_anterior_division,29
right_frontal_pole,29
right_paracingulate_gyrus,29
right_superior_frontal_gyrus,29
left_middle_temporal_gyrus_anterior_division,30
left_superior_temporal_gyrus_anterior_division,30
left_angular_gyrus,31
left_lateral_occipital_cortex_superior_division,31
left_superior_parietal_lobule,31
left_supramarginal_gyrus_posterior_division,31
right_angular_gyrus,31
right_lateral_occipital_cortex_superior_division,31
right_superior_parietal_lobule,31
right_supramarginal_gyrus_posterior_division,31
left_thalamus,32
right_thalamus,32
left_cerebellum,33
right_cerebellum,33
right_parietal_operculum_cortex,34
right_planum_temporale,34
right_parahippocampal_gyrus_posterior_division,35
right_temporal_fusiform_cortex_posterior_division,35
right_middle_temporal_gyrus_anterior_division,36
right_superior_temporal_gyrus_anterior_division,36
left_cuneal_cortex,37
left_supracalcarine_cortex,37
left_frontal_operculum_cortex,38
left_frontal_orbital_cortex,38
left_frontal_pole,38
left_inferior_frontal_gyrus_pars_triangularis,38
left_amygdala,39
