STRUCTURE,CLUSTER,DOMAIN,TITLE
left_lateral_occipital_cortex_inferior_division,1,VISION,Vision
left_middle_temporal_gyrus_temporooccipital_part,1,VISION,Vision
left_occipital_fusiform_gyrus,1,VISION,Vision
left_occipital_pole,1,VISION,Vision
right_inferior_temporal_gyrus_temporooccipital_part,1,VISION,Vision
right_lateral_occipital_cortex_inferior_division,1,VISION,Vision
right_middle_temporal_gyrus_temporooccipital_part,1,VISION,Vision
right_occipital_fusiform_gyrus,1,VISION,Vision
right_occipital_pole,1,VISION,Vision
left_frontal_orbital_cortex,2,COGNITION,Cognition
left_frontal_pole,2,COGNITION,Cognition
right_frontal_pole,2,COGNITION,Cognition
right_central_opercular_cortex,3,HAND,Hand
right_parietal_operculum_cortex,3,HAND,Hand
right_postcentral_gyrus,3,HAND,Hand
right_supramarginal_gyrus_anterior_division,3,HAND,Hand
right_parahippocampal_gyrus_posterior_division,4,MEMORY,Memory
right_temporal_fusiform_cortex_posterior_division,4,MEMORY,Memory
left_planum_polare,5,LANGUAGE,Language
right_heschls_gyrus,5,LANGUAGE,Language
right_planum_polare,5,LANGUAGE,Language
left_accumbens,6,REWARD,Reward
right_accumbens,6,REWARD,Reward
right_inferior_temporal_gyrus_anterior_division,7,EPISODIC_MEMORY,Episodic Memory
right_inferior_temporal_gyrus_posterior_division,7,EPISODIC_MEMORY,Episodic Memory
right_temporal_fusiform_cortex_anterior_division,7,EPISODIC_MEMORY,Episodic Memory
right_cingulate_gyrus_posterior_division,8,RECALL,Recall
right_cuneal_cortex,8,RECALL,Recall
right_intracalcarine_cortex,8,RECALL,Recall
right_precuneous_cortex,8,RECALL,Recall
right_supracalcarine_cortex,8,RECALL,Recall
left_insular_cortex,9,MANIPULATION,Manipulation
right_frontal_operculum_cortex,9,MANIPULATION,Manipulation
right_frontal_orbital_cortex,9,MANIPULATION,Manipulation
right_inferior_frontal_gyrus_pars_triangularis,9,MANIPULATION,Manipulation
right_insular_cortex,9,MANIPULATION,Manipulation
left_amygdala,10,EMOTION,Emotion
left_hippocampus,10,EMOTION,Emotion
left_parahippocampal_gyrus_anterior_division,10,EMOTION,Emotion
left_postcentral_gyrus,11,EXECUTION,Execution
left_supplementary_motor_cortex,11,EXECUTION,Execution
left_supramarginal_gyrus_anterior_division,11,EXECUTION,Execution
right_supplementary_motor_cortex,11,EXECUTION,Execution
left_middle_temporal_gyrus_anterior_division,12,SEMANTIC_PROCESSING,Semantic Processing
left_middle_temporal_gyrus_posterior_division,12,SEMANTIC_PROCESSING,Semantic Processing
left_superior_temporal_gyrus_anterior_division,12,SEMANTIC_PROCESSING,Semantic Processing
left_pallidum,13,FEEDBACK,Feedback
left_putamen,13,FEEDBACK,Feedback
right_pallidum,13,FEEDBACK,Feedback
right_putamen,13,FEEDBACK,Feedback
left_cingulate_gyrus_posterior_division,14,ENCODING,Encoding
left_cuneal_cortex,14,ENCODING,Encoding
left_intracalcarine_cortex,14,ENCODING,Encoding
left_lingual_gyrus,14,ENCODING,Encoding
left_parahippocampal_gyrus_posterior_division,14,ENCODING,Encoding
left_supracalcarine_cortex,14,ENCODING,Encoding
right_lingual_gyrus,14,ENCODING,Encoding
right_temporal_occipital_fusiform_cortex,14,ENCODING,Encoding
left_cingulate_gyrus_anterior_division,15,COGNITIVE_PROCESS,Cognitive Process
left_paracingulate_gyrus,15,COGNITIVE_PROCESS,Cognitive Process
left_superior_frontal_gyrus,15,COGNITIVE_PROCESS,Cognitive Process
right_cingulate_gyrus_anterior_division,15,COGNITIVE_PROCESS,Cognitive Process
right_paracingulate_gyrus,15,COGNITIVE_PROCESS,Cognitive Process
left_cerebellar_crus,16,MOVEMENT,Movement
left_cerebellar_lobules,16,MOVEMENT,Movement
right_cerebellar_crus,16,MOVEMENT,Movement
right_cerebellar_lobules,16,MOVEMENT,Movement
right_cerebellar_vermis,16,MOVEMENT,Movement
right_amygdala,17,VALENCE,Valence
right_hippocampus,17,VALENCE,Valence
right_parahippocampal_gyrus_anterior_division,17,VALENCE,Valence
right_middle_temporal_gyrus_anterior_division,18,SPEECH,Speech
right_middle_temporal_gyrus_posterior_division,18,SPEECH,Speech
right_superior_temporal_gyrus_anterior_division,18,SPEECH,Speech
right_superior_temporal_gyrus_posterior_division,18,SPEECH,Speech
left_inferior_temporal_gyrus_posterior_division,19,WORD,Word
left_inferior_temporal_gyrus_temporooccipital_part,19,WORD,Word
left_temporal_fusiform_cortex_posterior_division,19,WORD,Word
left_temporal_occipital_fusiform_cortex,19,WORD,Word
left_subcallosal_cortex,20,AROUSAL,Arousal
left_brainstem,21,PAIN,Pain
right_brainstem,21,PAIN,Pain
left_cerebellar_vermis,22,MOTOR_CONTROL,Motor Control
left_frontal_operculum_cortex,23,MEANING,Meaning
left_inferior_frontal_gyrus_pars_opercularis,23,MEANING,Meaning
left_inferior_frontal_gyrus_pars_triangularis,23,MEANING,Meaning
left_middle_frontal_gyrus,23,MEANING,Meaning
